name_7022#0,"""카누이"""
name_7001#0,"""마논"""
name_7026#0,"""파리아"""
ssn_017050_0010#0,"""그 표정을 보니 무언가 진척이 있었던 모양이군요."""
ssn_017050_0020#0,"""네.<br>루시엘 내부에서 입수한 관측자 데이터 해석이 완료되었습니다."""
ssn_017050_0030#0,"""그 결과…<br>히바나는 틀림없이 구 리서전트 아크스의 \""관측자\""였어."""
ssn_017050_0040#0,"""…역시 그랬군요.<br>각오는 하고 있었습니다만 역시 가슴이 아프네요."""
ssn_017050_0050#0,"""이 일에 대해 대장님께 어떻게 보고해야 할지 고민됩니다."""
ssn_017050_0060#0,"""…\""또 한 명의 전우\""에게 먼저 보고하는 건 어떨까.<br>크로포드라면 분명 좋은 해결책도 제안해 줄지 몰라."""
ssn_017050_0070#0,"""크로포드 말이군요.<br>확실히 그라면 냉정하게 받아들여 주겠지요."""
ssn_017050_0080#0,"""그에게 보고하는 것을 맡겨도 괜찮겠습니까.<br>저는 잠시 이곳에서 자리를 비울 수 없는 일이 있어서요…"""
ssn_017050_0090#0,"""알겠습니다.<br>저희가 보고하겠습니다."""
ssn_017050_0100#0,"""감사합니다.<br>부탁드립니다."""
ssn_017050_0110#0,"""잘 부탁해."""
