name_7211#0,"""섄디"""
ssn_019400_002_0010#0,"""와 주셔서 감사합니다."""
ssn_019400_002_0020#0,"""당신을 부른 건 지금 일어나고 있는<br>현상 조사를 도와주셨으면 해서요."""
ssn_019400_002_0030#0,"""사실, 할파 전역에서 에너미 수가<br>늘어나는 추세인 것 같습니다."""
ssn_019400_002_0040#0,"""특히 이 시기 특유의 심볼이 달린 에너미가<br>각지에서 목격되고 있습니다."""
ssn_019400_002_0050#0,"""상황 분석을 위해<br>데이터 수집을 부탁드려도 될까요?"""
ssn_019400_002_0060#0,"""당신이 심볼이 달린 에너미와 교전했을 때의<br>데이터를 보내 주셨으면 합니다."""
ssn_019400_002_0070#0,"""그럼 잘 부탁드립니다."""
ssn_019400_002_0080#0,"""…아, 참.<br>이건 조사 의뢰와는 별개입니다만."""
ssn_019400_002_0090#0,"""요즘 에아리오 리전에서 \""리리파족\""이라는<br>수수께끼의 존재가 목격됐다는 얘기도 들려오고 있습니다."""
ssn_019400_002_0100#0,"""혹시 관심이 있으시다면,<br>찾아보시는 것도 좋을 것 같은데요?"""
ssn_019400_002_0110#0,"""제가 말씀드리고 싶었던 건 여기까지입니다.<br>그럼 데이터를 기다리고 있겠습니다."""
ssn_019400_002_0900#0,"""이 시기 에너미의 변화는 현재 조사 중입니다."""
ssn_019400_002_0910#0,"""어떤 사소한 데이터라도<br>제공해 주시면 도움이 됩니다."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""지난번 시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0)까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 듣기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_0070#0,"""\""N-그라인더\""와 교환하기 ($(0)까지)"""
npc_menu_0080#0,"""초 창세제 '25 기념 교환권과 교환하기 ($(0)까지)"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대해"""
npc_menu_1030#0,"""\""리리파족\""에 대해"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_1050#0,"""\""랜더마이트\""에 대해"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
