name_7303#0,"""노안"""
ssn_019435_002_0010#0,"""와주셔서 감사합니다!<br>바로 아까 말씀드린 얘기인데요."""
ssn_019435_002_0020#0,"""장비개발부에서 만들던 특수 장비를<br>고양이가 가져가 버렸다고 해요."""
ssn_019435_002_0030#0,"""장비를 돌려받으려고 다 같이<br>그 장난꾸러기 고양이를 찾고 있어요."""
ssn_019435_002_0040#0,"""에아리오 지형에 익숙한 당신께도<br>꼭 협력을 부탁드리고 싶어요!"""
ssn_019435_002_0050#0,"""여기저기서 목격 정보가 들어오고 있어요.<br>그걸 단서로 찾아봐요!"""
ssn_019435_002_0060#0,"""우선은 에아리오 타운 옛터 근처예요!"""
ssn_019435_002_0070#0,"""타운 옛터를 내려다보는 태양광 패널 달린 탑이 있는데,<br>그 탑 위에 장난꾸러기 고양이 같은 아이가 있는 모양이에요!"""
ssn_019435_002_0080#0,"""잘 부탁드릴게요!"""
ssn_019435_002_0110#0,"""우선은 에아리오 타운 옛터 근처예요!"""
ssn_019435_002_0120#0,"""에아리오 타운 옛터를 내려다보는 태양광 패널 달린 탑이 있어요.<br>그 탑 위에 장난꾸러기 고양이 같은 아이가 있는 모양이에요!"""
ssn_019435_002_0130#0,"""잘 부탁드릴게요!"""
ssn_019435_002_0210#0,"""다음은 북부 에아리오예요!"""
ssn_019435_002_0220#0,"""알토 라니 고원과 할파나 습원 사이에 깊은 골짜기가 있어요.<br>그 골짜기를 잇는 제일 위 철골, 거기서 누워 있다고 해요."""
ssn_019435_002_0230#0,"""잘 부탁드릴게요!"""
ssn_019435_002_0310#0,"""다음은 남부 에아리오예요!<br>피코트 산 정상에 있는 코쿤, 그 입구 근처에 있는 것 같아요."""
ssn_019435_002_0320#0,"""포기하지 말고 힘내봐요!"""
ssn_019435_002_0410#0,"""이번엔 할피리아 호수예요!<br>호수 남쪽에 텐트가 있고, 갈색 고양이가 있다고 해요!"""
ssn_019435_002_0420#0,"""이번이야말로 맞을 거예요!"""
ssn_019435_002_0510#0,"""이번엔 정말 감사합니다!<br>그 특수 장비는 마음껏 써주셨으면 해요."""
ssn_019435_002_0520#0,"""또 무슨 일이 있으면<br>꼭 부탁드리고 싶어요!"""
