name_7004#0,"""크로포드"""
name_7016#0,"""그렌"""
name_7024#0,"""히바나"""
ssn_017140_0010#0,"""왔네.<br>고생했어."""
ssn_017140_0020#0,"""그래. 정말이지 엄청난 곳에 숨겨 뒀었군."""
ssn_017140_0030#0,"""그럼 메시지를 재생하지."""
ssn_017140_0040#0,"""…"""
ssn_017140_0050#0,"""이 메시지를 듣고 있는 건 그렌과 크로포드일까?<br>잘 지내? 싸우진 않고? 밥은 잘 챙겨 먹고 있어?"""
ssn_017140_0060#0,"""…분명 미래는 좋은 쪽으로 바뀌었겠지?"""
ssn_017140_0070#0,"""흠흠.<br>음, 이야기를 해야겠지."""
ssn_017140_0080#0,"""닐스 스티아가 조만간 투입될 거라는 얘기를 위에서 들었어.<br>그게 얼마나 강력한 에너미인지는 여러 정보를 통해 알고 있고."""
ssn_017140_0090#0,"""\""지금의 할파\""에는 그 에너미를 토벌할 만한<br>군비도 조직도 훌륭한 리더도 아직 없어."""
ssn_017140_0100#0,"""아크스의 전투 데이터를 수집했던 건 나니까.<br>내가 가장 잘 알고 있어."""
ssn_017140_0110#0,"""계획에 이의를 제기했지만<br>윗사람들은 전혀 들어주지 않았어."""
ssn_017140_0120#0,"""…그러니 적어도."""
ssn_017140_0130#0,"""나는 리서전트 아크스니까 \""리서전트 아크스의 힘\""을<br>써서라도 이 습격의 피해를 줄이기로 했어."""
ssn_017140_0140#0,"""그만큼 나는<br>모두를 정말 좋아하게 됐으니까."""
ssn_017140_0150#0,"""행성 할파의 인간이라고, 별을 건너는 자라고<br>거짓말해서 미안해."""
ssn_017140_0160#0,"""나의 진짜 모습과 이 메시지를<br>찾아 줘서 고마워."""
ssn_017140_0170#0,"""…둘 다 멋진 리더가 되어 줘."""
ssn_017140_0180#0,"""…"""
ssn_017140_0190#0,"""히바나가 말했던<br>\""리서전트 아크스의 힘\""…"""
ssn_017140_0200#0,"""마논도 사용했던 \""오버 부스트\""를 말하는 걸까."""
ssn_017140_0210#0,"""히바나는 그 습격 때 스스로 후위를 맡았지.<br>그건 히바나가 이미 습격이 어느 정도 규모인지 알고 있었기 때문일 거다."""
ssn_017140_0220#0,"""나는 다른 돌즈에게 정신이 팔려 있어서<br>힘을 사용한 건 눈치채지 못했지만…"""
ssn_017140_0230#0,"""그때의 피해는 확실히<br>재앙의 규모를 생각하면 적었어."""
ssn_017140_0240#0,"""설마 히바나의… 리서전트 아크스의 힘으로<br>도움을 받았을 줄이야…"""
ssn_017140_0250#0,"""눈치채는 게… 늦었군.<br>좀 더 빨랐다면 루시엘란을 대하는 방식도 바꿀 수 있었을 텐데."""
ssn_017140_0260#0,"""그렇네.<br>하지만 히바나는 평온이 찾아온 뒤에<br>이걸 봐 주길 바랐던 것 같아."""
ssn_017140_0270#0,"""그… 우리가 \""미래\""를 바꾼 그 너머에서<br>기다려 준 게 아닐까."""
ssn_017140_0280#0,"""그래…"""
ssn_017140_0290#0,"""고마워 히바나.<br>네가 지켜 준 이 별을 더 좋게 만들어 갈게."""
ssn_017140_0300#0,"""미안했다 히바나. 지금까지 알아주지 못해서.<br>드디어 진짜 너를 만났군."""
ssn_017140_0310#0,"""…크로포드와도 잘 지낼 테니<br>부디 지켜봐 줘."""
ssn_017140_0320#0,"""<%me>도<br>따라와 줘서 고마워."""
ssn_017140_0330#0,"""우리들은 잠시 기도를 올리고 돌아갈 생각이야."""
ssn_017140_0340#0,"""지금의 우리들을 보고<br>히바나가 조금이라도 웃어 준다면 좋겠네."""
