name_7016#0,"""그렌"""
name_7004#0,"""크로포드"""
name_7024#0,"""히바나"""
ssn_017110_0010#0,"""네가 직접 이곳에 오다니.<br>무슨 문제라도 생겼나."""
ssn_017110_0020#0,"""문제…라고 하긴 좀 그렇지만<br>일단 이걸 좀 봐 줘."""
ssn_017110_0030#0,"""이건 뭐지.<br>리서전트 아크스의 관측자 데이터…?"""
ssn_017110_0040#0,"""\""관측자명 히바나\""…<br>…대체 어떻게 된 거지."""
ssn_017110_0050#0,"""설마 히바나가<br>리서전트 아크스라고 말하고 싶은 건가."""
ssn_017110_0060#0,"""…받아들이기 힘든 건 알고 있어.<br>나도 아직 완전히 받아들이진 못했어."""
ssn_017110_0070#0,"""이건 파리아와 <%me> 둘이서<br>네임리스 시티에서 손에 넣은 데이터야."""
ssn_017110_0080#0,"""그렌과 함께 이 데이터를 보고 싶어서…<br>히바나의 진실을 알고 싶어서 이곳에 왔어."""
ssn_017110_0090#0,"""히바나가…<br>리서전트 아크스…?"""
ssn_017110_0100#0,"""…솔직히 선뜻 믿기 어렵군.<br>하지만 네가 여기까지 와서 말할 정도면 신빙성 높은 이야기겠지."""
ssn_017110_0110#0,"""진실은 내 눈으로 직접 확인하도록 하지."""
ssn_017110_0120#0,"""…그럼 재생할게."""
ssn_017110_0130#0,"""…관측자명 히바나. 관측 기록 16일째.<br>아크스 훈련생과의 접촉에 성공."""
ssn_017110_0140#0,"""놀라울 정도로 평균치에서 벗어난 초인적인 아크스가 있었어.<br>그렌과 크로포드라고 해."""
ssn_017110_0150#0,"""그들을 관측 대상으로 정하고<br>향후 전투 능력의 성장을 확인하기 위해 추가적인 접촉을 시도할 거야."""
ssn_017110_0160#0,"""관측 기록 61일째."""
ssn_017110_0170#0,"""두뇌가 명석하고 지휘에 능한 크로포드와<br>자신의 체력과 타고난 용맹함으로 무엇이든 맞서는 그렌."""
ssn_017110_0180#0,"""때로는 그들이라면<br>이 별의 미래를 바꿀 수 있지 않을까 하는 생각마저 들어."""
ssn_017110_0190#0,"""그들과 함께 보내는 매일은 배울 점이 많고<br>나도 정말 즐겁게 지내고 있어."""
ssn_017110_0200#0,"""…그들과 같은 사람이 리더로 성장해 준다면<br>할파는, 미래는 분명…"""
ssn_017110_0210#0,"""관측 기록 145일째."""
ssn_017110_0220#0,"""그들과의 사이가 깊어질수록<br>가끔 내 존재를 두고 고민하게 돼."""
ssn_017110_0230#0,"""나는 그렌과 크로포드에게 거짓된 나를 보여주고 있어."""
ssn_017110_0240#0,"""아크스가 아니야. 별을 건너는 자도 아니야.<br>\""아무것도 모른다\""는 건 있을 수 없어."""
ssn_017110_0250#0,"""내가 그들이 생각하는<br>\""히바나\""가 아니라는 게 괴로워…"""
ssn_017110_0260#0,"""관측 302일째.<br>\""윗선\""에서 할파에서 대규모 작전을 전개한다고 들었어."""
ssn_017110_0270#0,"""신형 에너미 닐스 스티아가 센트럴 시티를 습격한다…고 해."""
ssn_017110_0280#0,"""나는 루시엘의 연구자, 나는 알고 있는 자.<br>나는… \""아크스 히바나\""가 아니야."""
ssn_017110_0290#0,"""…어떻게 할지는 정해야만 하겠지."""
ssn_017110_0300#0,"""우리의 미래는 우리가 바꿔야만… 해…"""
ssn_017110_0310#0,"""…"""
ssn_017110_0320#0,"""마지막 메시지는 \""윗선\""의 손이 닿지 않는<br>약속의 장소에 남길게."""
ssn_017110_0330#0,"""그리고 이 데이터도…"""
ssn_017110_0340#0,"""…<br>이걸로 끝인가."""
ssn_017110_0350#0,"""젠장.<br>어째서 우리에게는 말해 주지 않은 거지."""
ssn_017110_0360#0,"""내가, 우리들이<br>습격이 있다는 걸 알기만 했어도 미래가 바뀌었을지도 모르잖아."""
ssn_017110_0370#0,"""우리들이 어렸기 때문에…<br>히바나가 모든 걸 짊어지게 된 거야."""
ssn_017110_0380#0,"""그것이 최선의 선택이었다."""
ssn_017110_0390#0,"""크로포드 일행의 부담을 생각해서 한 일이겠지."""
ssn_017110_0400#0,"""그래… 히바나는 정말 현명한 사람이었어."""
ssn_017110_0410#0,"""\""바뀐 미래의 끝\""에서 우리가<br>이 사실을 깨달을 것까지 내다보고 있었다니."""
ssn_017110_0420#0,"""데이터를 루시엘에 보고하지 않았던 건<br>전해야만 하는 내용이 삭제될 것을 두려워했기 때문이겠지."""
ssn_017110_0430#0,"""…흠.<br>마지막 메시지라는 건 어떻게 할 건가."""
ssn_017110_0440#0,"""그렌에게 회수를 맡겨도 괜찮을까.<br>회수하면 핼피리아 호수에서 만나자."""
ssn_017110_0450#0,"""나는 센트럴로 돌아가서 준비를 해 올게.<br>히바나에게 줄 작별의 선물을 준비해서 너희를 기다리고 있을게."""
ssn_017110_0460#0,"""알겠다.<br>…함께 가 주겠나, <%me>."""
ssn_017110_0470#0,"""우리의 \""약속의 장소\""라고 하면 그곳이겠네."""
ssn_017110_0480#0,"""그래, 짚이는 곳이 있다.<br>가자."""
ssn_017110_0490#0,"""…모든 것을 확인해야만 해."""
