name_7245#0,"""셰미"""
ssn_019230_002_0010#0,"""…아, 안녕하세요<br>와주셔서… 감사합니다."""
ssn_019230_002_0020#0,"""제가 하고 싶은 이야기는…<br>지금, 할파 전역에서 일어나고 있는 일… 에 관해서 입니다."""
ssn_019230_002_0030#0,"""시즌 심볼이 달린… 에너미가 증가하고 있어<br>다른 에너미도… 활동이 활발해지고 있습니다."""
ssn_019230_002_0040#0,"""앞으로의… 장비 개발을 위해…<br>그 데이터를… 수집하고 싶은데요."""
ssn_019230_002_0050#0,"""당신도….<br>도와주실 수 있으신가… 싶어서요."""
ssn_019230_002_0060#0,"""데이터는… 많으면 많을 수록<br>도움이 됩니다…."""
ssn_019230_002_0070#0,"""어, 어떠신가요?"""
ssn_019230_002_0080#0,"""…그 모습은,<br>OK라는… 뜻이지요?"""
ssn_019230_002_0090#0,"""…그렇죠?"""
ssn_019230_002_0100#0,"""그, 그럼… 힘내세요!"""
ssn_019230_002_0900#0,"""에너미의…<br>데이터 수집, 어떤가요?"""
ssn_019230_002_0910#0,"""뭐, 뭔가 도와드릴 일이<br>있을까요….?"""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0) 까지)"""
npc_menu_0020#0,"""뉴이어 '24 시즈널 포인트와 교환하기 ($(0) 까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0) 까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0) 까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 관하여"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""랜더마이트\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
