name_7245#0,"""셰미"""
ssn_019430_002_0010#0,"""…저, 저기,<br>와주셔서… 감사합니다."""
ssn_019430_002_0020#0,"""말씀드리고 싶은 건…<br>지금 할파 전역에서 벌어지고 있는… 일입니다."""
ssn_019430_002_0030#0,"""시즌 심볼이 붙은… 에너미가 늘고 있고,<br>다른 에너미들도… 활동이 활발해지고 있어요."""
ssn_019430_002_0040#0,"""새 장비를 개발하려면…<br>그 데이터를 모으고 싶거든요…."""
ssn_019430_002_0050#0,"""당신께도…<br>다시 도와주실 수 없을까… 해서요."""
ssn_019430_002_0060#0,"""아… 그 표정은…<br>괜찮다는 뜻이죠?"""
ssn_019430_002_0070#0,"""…그렇죠?"""
ssn_019430_002_0080#0,"""…감사합니다.<br>그, 그럼… 힘내요!"""
ssn_019430_002_0090#0,"""…아, 그러고 보니.<br>이건 다른 얘기인데…."""
ssn_019430_002_0100#0,"""환경 생물에… 관심 있으신가요?<br>…지금 옆 연구실에서 생태 조사 협조 요청이 와 있어서요."""
ssn_019430_002_0110#0,"""…혹시 관심 있으시면,<br>할파 환경 연구원 노안 씨… 얘기도 들어주세요."""
ssn_019430_002_0120#0,"""…그, 그럼 부탁드릴게요."""
ssn_019430_002_0900#0,"""에너미…<br>데이터 수집은 어떠세요?"""
ssn_019430_002_0910#0,"""저, 제가 도와드릴 수 있는 게…<br>있을까요…?"""
npc_menu_0010#0,"""시즈널 포인트로 교환($(0)까지)"""
npc_menu_0020#0,"""뉴이어'24의 시즈널 포인트로 교환한다($(0)까지)"""
npc_menu_0030#0,"""광석으로 교체($(0)까지)"""
npc_menu_0040#0,"""아이템 재활용($(0)까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 듣기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_1010#0,"""시즈널 이벤트 정보"""
npc_menu_1020#0,"""“시즌 에너미”에 대해"""
npc_menu_1030#0,"""미스치프 심볼 정보"""
npc_menu_1040#0,““시즈널 리전 마그” 정보”
npc_menu_1050#0,"""\""랜더마이트\""에 대해"""
npc_menu_2000#0,"""듣고 싶지 않아"""
