name_7234#0,"""페피 랍피"""
name_7224#0,"""시트레"""
ssn_019390_003_0010#0,"""안녕! 통신 중에 갑자기 끼어들어서 미안했어.<br>그만 솟구치는 마음을 주체할 수가 없어서 말이야."""
ssn_019390_003_0020#0,"""다시 자기소개하지. 나는 랍피를 아주 좋아하는<br>\""랍피 형씨\"" 페피 랍피다."""
ssn_019390_003_0030#0,"""사실 최근에 신종 랍피가 발견됐어!<br>\""라그오 랍피\""라고 부르고 있지."""
ssn_019390_003_0040#0,"""통상 랍피와 비교하면 몸통이 길거든.<br>부리로 콕콕 쪼아 온단다."""
ssn_019390_003_0050#0,"""이게 또 얼마나 귀여운지.<br>껴안고 볼을 비비고 싶을 정도야!"""
ssn_019390_003_0055#0,"""참고로 그 \""라그오 랍피\"" 말인데<br>거대한 개체도 있다는 소문이 있어."""
ssn_019390_003_0060#0,"""아아!<br>좀 더, 좀 더 그 랍피에 대해 알고 싶어."""
ssn_019390_003_0070#0,"""그래서 꼭 너에게 조사를 부탁하고 싶어!<br>차라리 지금 당장이라도 현지로 향해서…"""
ssn_019390_003_0080#0,"""…저기, 페피 랍피.<br>잠깐 괜찮으세요?"""
ssn_019390_003_0090#0,"""여기 오기 전에 말했었죠.<br>보급 물자 수송로에 위험이 생겼다고."""
ssn_019390_003_0100#0,"""보급대를 이끄는 입장으로서 지금은 랍피보다<br>안전 확보가 우선이라고 생각합니다만."""
ssn_019390_003_0110#0,"""…확실히 다소 흥분했던 것 같네.<br>역시 훌륭한 부하를 둬야 한다니까."""
ssn_019390_003_0120#0,"""<%me>.<br>좀 아쉽지만 그렇게 됐어."""
ssn_019390_003_0130#0,"""\""라그오 랍피\"" 조사는 임무 수행 중에<br>여유가 있으면 해 줬으면 해."""
ssn_019390_003_0140#0,"""그때는 너의 랍피를 향한 \""사랑\""<br>나에게 듬뿍 보여 줘!"""
ssn_019390_003_0150#0,"""\""라그오 랍피\""에 대해<br>자세한 건 알려지지 않았어."""
ssn_019390_003_0160#0,"""진화한 종인지, 돌연변이인지…?<br>어느 쪽이든 두근거림이 멈추질 않아."""
ssn_019390_003_0170#0,"""저기, 페피 랍피.<br>보급 안전 확보 건, 잊지 마세요."""
ssn_019390_003_0180#0,"""음, 걱정 끼쳐서 미안하군.<br>괜찮아, 알고 있다고!"""
