name_7303#0,"""노안"""
ssn_019450_005_0010#0,"""수, 수고하셨어요!"""
ssn_019450_005_0020#0,"""계속해서 조사를 부탁드릴게요!"""
ssn_019450_005_0110#0,"""수, 수고하셨어요!<br>와 주셔서 감사해요!"""
ssn_019450_005_0120#0,"""이번에 조사해 주셨으면 하는 생물은 \""유키후와\""예요.<br>하얗고 복슬복슬한, 조금 특이한 생물이랍니다!"""
ssn_019450_005_0130#0,"""저 아이들의 생태는 수수께끼투성이라<br>좀 더 조사해 보고 싶어요!"""
ssn_019450_005_0140#0,"""조사 자체는 어렵지 않아요.<br>평소 모습을 관찰해 주셨으면 해요."""
ssn_019450_005_0150#0,"""사실은 제가 직접 가서<br>제 눈으로 보고 싶지만…."""
ssn_019450_005_0160#0,"""조사하고 싶은 아이들이 라트바 산 위에 있거든요.<br>제가 고소 공포증이라 거기까지 올라갈 수가 없어요…. 헤헤."""
ssn_019450_005_0170#0,"""아, 아무튼!<br>잘 부탁드릴게요!"""
ssn_019450_005_0210#0,"""감사합니다!<br>정말 큰 도움이 됐어요!"""
ssn_019450_005_0220#0,"""또 기회가 있다면 잘 부탁드릴게요!"""
