name_7406#0,"""슬레인"""
ssn_015810_0001#0,"""자네, 새로운 \""별을 건너는 자\""로군?"""
ssn_015810_0002#0,"""자네가 여기 올 줄은 알고 있었다.<br>내겐 모든 것이 보인다."""
ssn_015810_0003#0,"""하지만, 나와 마주하기에는 아직 이른 것 같네.<br>좀 더 성장하면 다시 와 줘."""
ssn_015810_0101#0,"""기다리고 있었다."""
ssn_015810_0102#0,"""내 이름은 슬레인. 아크스 총검 교관이다.<br>사람들은 나를 \""신속의 총검사\""라고 부른다."""
ssn_015810_0103#0,"""네가 여기에 온 것은,<br>그래… 내 영혼과 \""공명\""했기 때문."""
ssn_015810_0104#0,"""자네의 영혼에서<br>슬레이어의 힘을 갈망하는 강한 파동이 느껴진다."""
ssn_015810_0105#0,"""나라면 자네를 인도할 수 있다.<br>물론 그에 걸맞은 수련이 필요하다."""
ssn_015810_0106#0,"""내 인도를 받아들일 수 있나?"""
ssn_015810_0201#0,"""내 가르침을 영혼에 새기고 있는가?<br>단단히…"""
ssn_015810_0202#0,"""자네라면 반드시 해낼 수 있다.<br>내 기대에 부응해라."""
ssn_015810_0301#0,"""그런가…<br>아직 영혼의 결단이 이루어지지 않은 건가."""
ssn_015810_0302#0,"""나는 언제까지나 기다리고 있다.<br>영혼의 \""공명\""을 느끼면 다시 와 주길 바라지."""
ssn_015810_0401#0,"""자네라면 내 속도를 뛰어넘을 수 있을지도 모른다.<br>기대하고 있다."""
ssn_015810_0402#0,"""앞으로도 마음이 가는 대로,<br>자신의 영혼을 갈고닦아라."""
