name_7211#0,"""섄디"""
ssn_019450_002_0010#0,"""와 주셔서 감사해요."""
ssn_019450_002_0020#0,"""당신을 부른 건, 지금 일어나는<br>현상의 조사를 도와주셨으면 해서예요."""
ssn_019450_002_0030#0,"""실은 할파 전역에서 에너미의 수가<br>증가하는 추세인 것 같아요."""
ssn_019450_002_0040#0,"""특히 이 시기 특유의 심벌이 붙은 에너미가<br>각지에서 목격되고 있어요."""
ssn_019450_002_0050#0,"""상황을 분석할 수 있도록<br>데이터 수집을 부탁드려도 될까요?"""
ssn_019450_002_0060#0,"""심벌이 붙은 에너미와 교전했을 때의<br>데이터를 보내 주셨으면 해요."""
ssn_019450_002_0070#0,"""그럼 잘 부탁드릴게요."""
ssn_019450_002_0080#0,"""…아, 맞다.<br>이건 조사 의뢰와는 별개인데요."""
ssn_019450_002_0090#0,"""요즘 에어리오 리전에서 \""리리파족\""이라는<br>수수께끼의 존재가 목격되고 있대요."""
ssn_019450_002_0100#0,"""혹시 관심이 있으시다면<br>찾아보는 것도 좋을 것 같아요."""
ssn_019450_002_0110#0,"""그리고 또 다른 건인데요…."""
ssn_019450_002_0120#0,"""귀여운 생물들에게 관심 있으신가요?<br>지금 옆 연구실에서 생태 조사 협력 요청이 들어왔거든요."""
ssn_019450_002_0130#0,"""혹시 관심이 있으시다면<br>할파 환경 연구원 노안 씨의 이야기를 들어 보세요."""
ssn_019450_002_0140#0,"""제가 전하고 싶었던 이야기는 여기까지예요.<br>그럼 데이터를 기다리고 있을게요."""
ssn_019450_002_0900#0,"""이 시기 에너미의 변화는 현재 열심히 조사하고 있어요."""
ssn_019450_002_0910#0,"""아무리 사소한 데이터라도<br>제공해 주시면 도움이 될 거예요."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""지난번 시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0)까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 묻기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대해"""
npc_menu_1030#0,"""\""리리파족\""에 대해"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_1050#0,"""\""랜더마이트\""에 대해"""
npc_menu_2000#0,"""묻고 싶은 건 없어"""
