name_7200#0,"""카르테뷔에"""
ssn_005030_0001#0,"""응? 이 건물이 뭐냐고?"""
ssn_005030_0002#0,"""센트럴 타워지.<br>이 센트럴 시티를 상징하는 건물이야."""
ssn_005030_0003#0,"""그리고 넓은 범위에 전파를 주고받을 수 있는 통신탑이기도 하지.<br>덕분에 우리는 어디에 있든 통신할 수 있는 거고."""
ssn_005030_0101#0,"""장비는 제대로 단련하고 있나?"""
ssn_005030_0051#0,"""아직 장비를 단련해 본 적이 없다면,<br>내가 방법을 알려 줄게."""
ssn_005030_0052#0,"""뭐, 그렇게 어려운 이야기는 아니지만."""
ssn_005030_0102#0,"""무기나 방어구는,<br>아이템 랩에서 강화할 수 있어."""
ssn_005030_0103#0,"""불필요한 무기나 N-그라인더 같은,<br>필요한 소재를 모아서 랩에 가 보면 돼."""
ssn_005030_0201#0,"""장비를 강화해 본 모양이네."""
ssn_005030_0202#0,"""에너미와 싸워 보면서,<br>성능이 얼마나 달라졌는지 확인해 보는 건 어때?"""
ssn_005030_0203#0,"""아크스에게 무기와 방어구 강화는 중요해.<br>제대로 기억해 두는 게 좋아."""
ssn_005030_0301#0,"""그래? 마음이 내키면 또 와."""
