name_7224#0,"""시트레"""
ssn_019390_002_0010#0,"""<%me>!<br>와 줘서 고마워."""
ssn_019390_002_0020#0,"""뭔가 옆에서 이야기하고 싶어 하는 사람이 있지만…,<br>일단 신경 쓰지 말고 진행하자."""
ssn_019390_002_0030#0,"""그래서 너에게 상담할 게 있는데…"""
ssn_019390_002_0040#0,"""사실 요즘 들어 광포한 심볼이 달린 에너미가 늘어나서<br>보급 물자 수송 중에 습격당하는 일이 많아."""
ssn_019390_002_0050#0,"""보급 물자 수송 중에<br>습격당하는 일이 많아서 말이야…"""
ssn_019390_002_0060#0,"""그래서 우수한 아크스인 너에게<br>에너미 토벌을 부탁하고 싶다는 거지."""
ssn_019390_002_0070#0,"""부탁해도… 되겠지?"""
ssn_019390_002_0080#0,"""안정적인 보급을 위해 꼭 협력해 줬으면 해.<br>그럼 잘 부탁해!"""
ssn_019390_002_0900#0,"""보급은 전투의 생명줄!"""
ssn_019390_002_0910#0,"""…하지만 지금은 그 생명줄이 위기야…"""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""뉴이어'24 시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0)까지)"""
npc_menu_0040#0,"""아이템 리사이클"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 듣기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_0070#0,"""\""N-그라인더\""와 교환하기"""
npc_menu_0080#0,"""초 창세제'25 기념 교환권과 교환하기"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대해"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 대해"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_1050#0,"""\""랜더마이트\""에 대해"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
