name_7004#0,"""크로포드"""
name_7001#0,"""마논"""
name_7026#0,"""파리아"""
ssn_017060_0010#0,"""…그렇구나.<br>히바나가…"""
ssn_017060_0020#0,"""응…<br>그래서 우선 너에게."""
ssn_017060_0030#0,"""사정은 알았어.<br>이야기해 줘서 고마워."""
ssn_017060_0040#0,"""…확실히 히바나가 리서전트 아크스라는 건<br>그렌에게는 받아들이기 힘들겠지."""
ssn_017060_0050#0,"""그렌에게 이야기하기 전에 뒷받침할 데이터가 좀 더 필요해."""
ssn_017060_0060#0,"""히바나가 리서전트 아크스로서 대체 무엇을 했는지.<br>왜 나와 그렌에게 접근했는지…"""
ssn_017060_0070#0,"""그걸 알고 나서 보고하는 편이<br>그렌도… 나도 받아들일 수 있을 테니까."""
ssn_017060_0080#0,"""알았어.<br>하지만 어디를 조사하는 게 좋을까?"""
ssn_017060_0090#0,"""조금 전 탐문 중에 루시엘란에게 들었습니다만<br>이전에는 네임리스 시티에도 연구원이 있었던 모양입니다."""
ssn_017060_0100#0,"""루시엘의 연구 데이터에는 히바나가 다룬 논문이나 명부도 없었습니다.<br>그렇다면 히바나는 그곳에서 연구했을지도 모릅니다."""
ssn_017060_0110#0,"""조사해 볼 가치는 있겠네."""
ssn_017060_0120#0,"""조사하러 가실 때는<br>부디 저도 동행하게 해 주십시오."""
ssn_017060_0130#0,"""무언가 알게 되면 나에게 보고해 줘.<br>잘 부탁해."""
ssn_017060_0140#0,"""데이터 회수 부탁할게."""
ssn_017060_0210#0,"""고생했어.<br>돌아왔구나."""
ssn_017060_0220#0,"""네, 데이터 수집도 무사히 완료했습니다.<br>해석을 진행하겠습니다."""
ssn_017060_0230#0,"""…<br>이건 히바나의 행성 할파 관측 기록 같네."""
ssn_017060_0240#0,"""아무래도 할파에 내려온 이후의 기록인 것 같습니다.<br>루시엘에는 보고되지 않은 데이터로 보입니다만…"""
ssn_017060_0250#0,"""…고마워.<br>그렌에게는 내가 보고해도 괜찮을까."""
ssn_017060_0260#0,"""이 데이터는… 그와 함께 보고 싶어."""
ssn_017060_0270#0,"""…자, 그럼 가볼까."""
ssn_017060_0280#0,"""앞으로도<br>잘 부탁해."""
