name_7406#0,"""슬레인"""
ssn_015811_0101#0,"""후후….<br>뭐, 무어볼 필요도 없었지."""
ssn_015811_0102#0,"""그럼 시작하지."""
ssn_015811_0103#0,"""…응?<br>클래스가 슬레이어가 아니… 라고?"""
ssn_015811_0104#0,"""이게 어찌된 일이야.<br>당장 \""클래스 카운터\""로 향한다."""
ssn_015811_0105#0,"""그리고, 몸에 익히는<br>\""클래스 스킬\""도 익혀야 한다."""
ssn_015811_0106#0,"""…하지만,<br>그 전에 슬레이어 데해 얘기하도록 하지."""
ssn_015811_0107#0,"""슬레이어는, 총검을 이용한 근거리 전투에 특화되어 있다.<br>총격과 베기를 조합하여 적을 처치한다."""
ssn_015811_0108#0,"""그리고 또 하나.<br>슬레이어는 최고의 스피드를 자랑한다."""
ssn_015811_0109#0,"""무얼 숨겨야 하나,<br>나의 \""신속\""이라는 이름도 거기서 따온 것."""
ssn_015811_0110#0,"""가장 먼저 익혀야 할 클래스 스킬은,<br>\""건슬래시 기어\""."""
ssn_015811_0111#0,"""그리고 \""슬래시 퍼슈트\""다."""
ssn_015811_0112#0,"""자, 당장 시도해보도록 해라."""
