name_ai#0,"""MAI001"""
name_7013#0,"""이루마"""
ssn_015966_0010#0,"""와 줘서 고마워.<br>바로 그 데이터 칩 이야기인데…"""
ssn_015966_0020#0,"""로스트 센트럴이 주요 도시로 기능하던 시기보다도<br>더 이전에 만들어진 것 같아."""
ssn_015966_0030#0,"""상당히 오래된 데이터라는 거군.<br>수백 년 전쯤이려나."""
ssn_015966_0040#0,"""응. 손상이 꽤 심해서 복원도 일부만 됐지만,<br>어떻게든 디바이스에서 읽을 수 있게 해 뒀어."""
ssn_015966_0050#0,"""아무래도 마그와 대화할 수 있게 해 주는 확장 데이터,<br>그런 것 같아."""
ssn_015966_0060#0,"""네 마그에 데이터를 보냈으니까<br>확인해 줬으면 해."""
ssn_015966_0070#0,"""알았어."""
ssn_015966_0080#0,"""…M.A.I. 시스템, 기동. 현재 TYO 시각 불명."""
ssn_015966_0090#0,"""손상 데이터 다수. 시스템 복구를 시작합니다…"""
ssn_015966_0100#0,"""안녕하세요. <%me> 씨.<br>저는 \""M.A.I.\""의 MAI001입니다."""
ssn_015966_0110#0,"""용건이 있으시면 꼭 말을 걸어 주세요.<br>당신과의 대화를 학습하여 더 나은 제안을 할 수 있게 됩니다."""
ssn_015966_0120#0,"""무사히 기동한 것 같지만…<br>설마 마그로 이런 일이 가능하다니."""
ssn_015966_0130#0,"""\""MAI001\"" 자신도 말했지만, 손상된 데이터가 많다.<br>본래 기능이 어떤 것이었는지 조사할 필요가 있을 것 같군."""
ssn_015966_0140#0,"""게다가 나도 모르는 지식이나 말을 알고 있는 것 같았다.<br>이 칩이 만들어진 시대의 지식인 걸까…"""
ssn_015966_0150#0,"""아무튼 자율적으로 학습할 수 있는 프로그램인 것 같으니,<br>많은 장소를 방문하는 네게 이 데이터를 맡기고 싶어."""
ssn_015966_0160#0,"""그렇군.<br>너라서 이해할 수 있는 말도 있을지 모르니까."""
ssn_015966_0170#0,"""이루마는 계속해서 데이터 해석을 부탁한다.<br>너는 \""M.A.I.\""와의 대화를 통해 데이터 수집을 부탁할게."""
ssn_015966_0180#0,"""아, 맞다. 한 가지 주의점이 있는데, MAI001은 섬세한 구조인 듯해서,<br>현시점에서는 전투가 발생할 수 있는 섹션에서의 사용은 삼가 줬으면 해."""
ssn_015966_0190#0,"""확실히 교류는 안전한 장소에서 하는 편이 좋겠네.<br>미안하지만, 한 번 시티나 캠프로 이동해 줘."""
ssn_015966_0200#0,"""뭔가 묻고 싶은 게 있니?"""
ssn_015966_0210#0,"""데이터 칩은 어디서 찾았어?"""
ssn_015966_0220#0,"""마그에 어떤 기능이 생겼어?"""
ssn_015966_0230#0,"""묻고 싶은 건 없어."""
ssn_015966_0240#0,"""로스트 센트럴 안쪽, 얼음으로 뒤덮인 방에 있었어."""
ssn_015966_0250#0,"""위험한 에리어라 발견 후 한동안 방치되어 있었지만 말이야.<br>다른 아크스들과 협력해서 드디어 조사할 수 있었어."""
ssn_015966_0260#0,"""이전 일도 있어서 남매들에게,<br>혼자서는 절대 가지 말라고 아주 단단히 당부받았거든."""
ssn_015966_0270#0,"""간단히 말하면, 마그가 말을 할 수 있게 됐다,<br>그렇게 보면 되려나."""
ssn_015966_0280#0,"""MAI001에는 할파의 기초 데이터가 들어 있을 거야.<br>새로운 지식도 점점 늘어나는 것 같아."""
ssn_015966_0290#0,"""그럼 이만."""
Title#0,"""『M.A.I.』 이용약관"""
