name_7022#0,"""카누이"""
name_7001#0,"""마논"""
name_7026#0,"""파리아"""
ssn_017160_0010#0,"""고생 많으십니다."""
ssn_017160_0020#0,"""<%me>, 와 줬구나."""
ssn_017160_0030#0,"""그래서 대체 무슨 일이…?"""
ssn_017160_0040#0,"""…."""
ssn_017160_0050#0,"""그렇군요.<br>그런 메시지가 남겨져 있었군요."""
ssn_017160_0060#0,"""히바나의 죽음을 계속 후회하던 그들이었지만<br>진실을 알았으니 이제야 추모할 수 있게 되려나요…."""
ssn_017160_0070#0,"""…나는 히바나의 마음을 조금은 알 것 같아."""
ssn_017160_0080#0,"""아이나나 너와 만나지 못했다면<br>히바나처럼… \""힘\""을 계속 사용하는 선택을 했을 거야."""
ssn_017160_0090#0,"""자신의 몸을 괴롭혀서라도<br>누군가를 위하고 싶다고 생각하는 것도 무리는 아니지."""
ssn_017160_0100#0,"""…히바나 씨는<br>분명 어딘가에서 외로웠던 게 아닐까요."""
ssn_017160_0110#0,"""저도 히바나를 추모하고 싶습니다."""
ssn_017160_0120#0,"""히바나는 할파 사람과도 루시엘란과도 인연이 깊은 인물입니다.<br>미래가 이어진 지금 히바나의 마음을 헤아려주고 싶습니다."""
ssn_017160_0130#0,"""…그렇네요.<br>그럼 노래를 보내는 건 어떨까요."""
ssn_017160_0140#0,"""\""그 노래\""라면 할파에서도 루시엘에서도 같다고 들었습니다."""
ssn_017160_0150#0,"""좋네.<br>그럼 조금 이따가 우리도 할피리아 호수로 가볼까."""
ssn_017160_0160#0,"""네, 그러죠."""
ssn_017160_0170#0,"""<%me>씨<br>이번 조사에 협력해 주셔서 감사했습니다."""
ssn_017160_0180#0,"""조사 감사했습니다."""
