name_7303#0,"""노안"""
ssn_019430_005_0010#0,"""고, 고생 많으셨어요!"""
ssn_019430_005_0020#0,"""이어서 조사 부탁드릴게요!"""
ssn_019430_005_0110#0,"""고, 고생 많으셨어요!<br>와주셔서 감사합니다!"""
ssn_019430_005_0120#0,"""이번에 조사해 주셨으면 하는 생물은 \""노빌토리\""예요.<br>작은 몸으로 목을 쭉 늘리는 새 모양 생물이죠!"""
ssn_019430_005_0130#0,"""예전에 루프 마크아드에서 조사한 적이 있는데,<br>시간이 좀 지났으니까 다시 상태를 확인해 두고 싶어요."""
ssn_019430_005_0140#0,"""조사 자체는 어렵지 않아요.<br>생태를 위협할 만한 위험이 없는지만 직접 봐주시면 돼요."""
ssn_019430_005_0150#0,"""사실은 제가 가서<br>제 눈으로 확인하고 싶지만…."""
ssn_019430_005_0160#0,"""전에 마미독한테 당할 뻔한 적이 있어서,<br>다른 연구원들이 위험하다고 말리더라고요. 죄송해요."""
ssn_019430_005_0170#0,"""아, 아무튼요!<br>잘 부탁드릴게요!"""
ssn_019430_005_0210#0,"""감사합니다!<br>정말 큰 도움이 됐어요!"""
ssn_019430_005_0220#0,"""또 기회가 있으면 잘 부탁드릴게요!"""
