name_7657#0,"""바시니아"""
ssn_005100_0001#0,"""센트럴 시티에 온 걸 환영해.<br>환영할게."""
ssn_005100_0002#0,"""구이덴에게서 기본적인 건 배우고 있는 중이려나?<br>힘들 수도 있겠지만, 힘내."""
ssn_005100_0101#0,"""너는 자신의 “전투력”을 파악하고 있니?"""
ssn_005100_0051#0,"""만약 “전투력”이 뭔지 잘 모르겠다면,<br>내가 알려 줄게."""
ssn_005100_0052#0,"""알겠어. 알려 줄게."""
ssn_005100_0102#0,"""“전투력”은,<br>“스테이터스”에서 확인할 수 있어."""
ssn_005100_0103#0,"""이건 각자의 마그가 그 사람의 신체 능력과,<br>장비한 무기와 방어구의 힘을 측정해 수치로 나타낸 거야."""
ssn_005100_0104#0,"""그걸 전부 합산한 값이, 전투력으로 표시되는 거지."""
ssn_005100_0105#0,"""그러니까 아크스 자신이 경험을 쌓거나,<br>무기를 강화하면 전투력이 올라가."""
ssn_005100_0106#0,"""참고로 전투력이 부족하면,<br>도전할 수 없는 “타워”도 있어."""
ssn_005100_0107#0,"""아, 타워라는 건 코쿤과 비슷한 훈련 시설이야.<br>코쿤보다 수도 훨씬 적고, 공략도 더 어렵지만."""
ssn_005100_0108#0,"""들어갈 수 없는 타워가 있다면, 전투력을 올려 보는 게 좋아."""
ssn_005100_0201#0,"""수고했어.<br>무사히 타워를 공략한 모양이네. 훌륭해."""
ssn_005100_0202#0,"""타워는 코쿤보다 스킬 포인트도 얻을 수 있으니까,<br>다른 곳도 발견하면 도전해 봐."""
ssn_005100_0203#0,"""아, 그리고 말이야. 전투력 제한이 있는 건 타워만이 아니야.<br>전투력이 부족하면 참가할 수 없는 임무도 있거든."""
ssn_005100_0204#0,"""그럴 땐 이번처럼 전투력을 올려 보면 좋을 거야.<br>그럼 앞으로도 힘내."""
ssn_005100_0301#0,"""알고 싶어지면 또 와."""
