name_7022#0,"""카누이"""
name_7001#0,"""마논"""
name_7026#0,"""파리아"""
ssn_017020_0010#0,"""너도 와 줬구나."""
ssn_017020_0020#0,"""안녕하세요."""
ssn_017020_0030#0,"""여러분 와 주셔서 감사합니다."""
ssn_017020_0040#0,"""바로 본론으로 들어가서 죄송합니다만 통신으로 말씀드렸듯이<br>상담해 주셨으면 하는 것이 있어서요…."""
ssn_017020_0050#0,"""최근 저는 루시엘란이 수집하고 있던<br>데이터 회수 임무를 맡고 있었습니다."""
ssn_017020_0060#0,"""그 데이터 중에는 아크스의 전투 기록을 정리한 것도 있어서<br>전투 능력이나 행동 패턴 등이 상세하게 기록되어 있었습니다."""
ssn_017020_0070#0,"""행성 할파에 강하한 모든 별을 건너는 자와 아크스들의<br>방대하기 짝이 없는 데이터였습니다."""
ssn_017020_0080#0,"""확인을 위해 훑어보고 있었습니다만…."""
ssn_017020_0090#0,"""거기에는 마논이나 파리아의 이름이 없었습니다."""
ssn_017020_0100#0,"""과거 리서전트 아크스라 불렸던<br>기록하는 쪽의 데이터는 수집할 필요가 없었겠지요."""
ssn_017020_0110#0,"""하지만 저는 마찬가지로 \""데이터가 없는 자\""를 발견하고 말았습니다."""
ssn_017020_0120#0,"""…\""히바나\"".<br>10년 전 닐스 스티아와의 싸움에서 목숨을 잃은 아크스입니다."""
ssn_017020_0130#0,"""히바나….<br>그렌과 크로포드의 친구였던 사람이구나."""
ssn_017020_0140#0,"""네. 히바나의 이름도<br>전투 기록에 적혀 있지 않았습니다."""
ssn_017020_0150#0,"""이것으로 미루어 짐작할 수 있는 것은…."""
ssn_017020_0160#0,"""히바나도 \""기록하는 쪽\"".<br>리서전트 아크스였다는 걸까요."""
ssn_017020_0170#0,"""…믿기 힘든 일이긴 합니다만.<br>그래서 루시엘에 대해 잘 아시는 여러분을 모셨습니다."""
ssn_017020_0180#0,"""이런 일은 즉시 대장님께 보고해야 한다는 것은 알고 있습니다."""
ssn_017020_0190#0,"""하지만 히바나는 대장님께도 소중한 친구.<br>억측으로 이야기하는 것은 좋지 않다고 생각해서요."""
ssn_017020_0200#0,"""그렇구나….<br>현명한 판단일지도 모르겠네."""
ssn_017020_0210#0,"""단…. 만약 히바나가 리서전트 아크스였다고 해도<br>우린 누가 옆에서 연구하든, 신경쓰지 않고 활동했었어."""
ssn_017020_0220#0,"""그렇네요. 저희가 연구원으로 있던 시기와도 맞지 않아서<br>알 도리가 없습니다."""
ssn_017020_0230#0,"""<%me>.<br>루시엘에 가서 오래된 데이터가 없는지<br>확인해 주지 않을래."""
ssn_017020_0240#0,"""우리들은 루시엘란에게<br>히바나를 아는 사람이 없는지 물어볼게."""
ssn_017020_0250#0,"""알았어."""
ssn_017020_0260#0,"""그쪽은 부탁할게."""
ssn_017020_0270#0,"""그렇네요.<br>저도 부디 부탁드립니다."""
ssn_017020_0280#0,"""…우선은 센트럴 시티의 연구원부터 찾아보죠."""
ssn_017020_0290#0,"""어라, 파리아. 적극적이네."""
ssn_017020_0300#0,"""이루마에게서 좀 더 여러 가지 일에 흥미를 갖는 편이<br>연구원으로서 세계가 넓어질 거라는 조언을 받았습니다."""
ssn_017020_0310#0,"""그래서 알고 싶어졌습니다.<br>제가 모르는 리서전트 아크스의 과거를."""
ssn_017020_0320#0,"""조심하세요."""
