name_7211#0,"""섄디"""
ssn_019410_002_0010#0,"""와주셔서 감사합니다."""
ssn_019410_002_0020#0,"""당신을 부른 건, 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서입니다."""
ssn_019410_002_0030#0,"""실은, 할파 전역에서 에너미 수가<br>늘어나는 추세인 것 같습니다."""
ssn_019410_002_0040#0,"""특히, 이 시기 특유의 심볼이 달린 에너미가<br>각지에서 목격되고 있습니다."""
ssn_019410_002_0050#0,"""상황 분석을 위해<br>데이터 수집을 부탁드릴 수 없을까요?"""
ssn_019410_002_0060#0,"""당신이 심볼이 달린 에너미와 교전했을 때의<br>데이터를 보내주셨으면 합니다."""
ssn_019410_002_0070#0,"""그럼, 잘 부탁드립니다."""
ssn_019410_002_0080#0,"""…아, 맞다.<br>이건 조사 의뢰와는 별개입니다만."""
ssn_019410_002_0090#0,"""귀여운 생물들에게, 관심이 없으십니까.<br>지금, 옆 연구실에서 생태 조사의 협력 요청이 와 있어서요."""
ssn_019410_002_0100#0,"""만약, 관심이 있으시다면<br>할파 환경 연구원 노안 씨의 이야기를 들어봐 주세요."""
ssn_019410_002_0110#0,"""제가 전해드리고 싶었던 이야기는 이상입니다.<br>그럼, 데이터를 기다리고 있겠습니다."""
ssn_019410_002_0900#0,"""이 시기의 에너미의 변화에 대해서는, 예의 조사 중입니다."""
ssn_019410_002_0910#0,"""어떤 사소한 데이터라도<br>제공해 주시면 도움이 됩니다."""
npc_menu_0010#0,"""시즈널 포인트와 교환한다($(0)까지)"""
npc_menu_0020#0,"""전회 시즈널 포인트와 교환한다($(0)까지)"""
npc_menu_0030#0,"""광석과 교환한다($(0)까지)"""
npc_menu_0040#0,"""아이템 리사이클($(0)까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 듣는다"""
npc_menu_0060#0,"""메뉴를 닫는다"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대해"""
npc_menu_1030#0,"""\""리리파족\""에 대해"""
npc_menu_1040#0,"""\""시즈널 리전 매그\""에 대해"""
npc_menu_1050#0,"""\""랜더마이트\""에 대해"""
npc_menu_2000#0,"""듣고 싶은 것은 없다"""
