name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>класса герой!"""
text02#0,"""Герой - класс, суть которого<br>состоит в <red>ведении боя<br>против множества противников<br>одновременно<c>."""
text03#0,"""В его арсенале имеется:<br>меч, парные ПП и талис.<br>Однако, они используются<br>совершенно иначе."""
text04#0,"""Для начала, давайте выполним<br><red>производную заряжаемую атаку<br>Фотон Арта героя<br>Brightness End<c>!"""
text101#0,"""1-я задача: <yellow>Используйте производный заряжаемый ФА Brightness End"""
train_title#0,"""1-я задача: <yellow>Использовать производный заряжаемый ФА Brightness End"""
tut_title#0,"""Производная атака Brightness End"""
text100#0,"""・Активируйте Brightness End <%PhotonArts><br>и удерживайте до полной<br>зарядки<br>・Зарядив, ударьте врага"""
tut_win_title#0,"""Меч героя"""
tut_win_text100#0,"""Это руководство по мечу класса герой.<br><br>Меч героя отличается широким диапазоном<br>и высокой скоростью атаки.<br><br>Есть некоторые Фотон Арты меча героя,<br>которые можно заряжать, получая производные версии.<br><br>А также имеются Фотон Арты, помогающие быстро<br>переключаться на другое оружие героя при зажатии<br>клавиши Фотон Арта после активации."""
