name01#0,"""Сиерра"""
text01#0,"""С накоплением Gear героя,<br>вы можете активировать<br><red>\""Hero Time\""<c>."""
text02#0,"""С активацией Hero Time,<br><red>повышается сила атаки с каждым<br>ударом по противнику, а PP<br>активно восстанавливается<c>."""
text03#0,"""Кроме того, о время Hero Time<br>вы можете использовать мощную<br>атаку <red>\""Hero Time Finish\""<c>!""
text04#0,"""<red>\""Hero Time Finish\"" можно<br>активировать, повторно нажав<br>на иконку Hero Time<c>."""
text05#0,"""А теперь, <red>активируйте<br>\""Hero Time Finish\""<c><br>и ударьте им по врагам!"""
text101#0,"""9-я задача: <yellow>Активируйте Hero Time и следом \""Hero Time Finish\"""""
train_title#0,"""9-я задача: <yellow>Активировать Hero Time и следом \""Hero Time Finish\"""""
tut_title#0,"""ヒーロータイムフィニッシュについて"""
text100#0,"""・Активируйте Hero Time<br>из под-палитры<br>・Активируйте \""Hero Time Finish\""<br>повторным нажатием"""
tut_win_title#0,"""『ヒーロータイム』について"""
tut_win_text100#0,"""Умение \""Hero Time Finish\"" это классовое умение,<br>которое использует технику завершения посредством<br>повтороной активации во время Hero Time.<br><br>Пока действует Hero Time, применяется эффект<br>увеличения силы, но эффект пропадает после<br>использования завершающего приёма.<br>Определите момент использования.<br><br>Будь то меч, парные ПП или талис:<br>у всех свой завершающий приём."""
