name01#0,"""Сиерра"""
text01#0,"""Действие парных ПП<br><red>позволяет восстанавливать PP<c>."""
text02#0,"""<red>Удерживая кнопку действия оружия<c><br>можно продолжать зарядку PP."""
text03#0,"""Также, при выполнении действия<br>оружия в Just Attack, можно<br>активировать Just Reload,<br>благодаря чему скорость<br>восстановления PP увеличится."""
text101#0,"""4-я задача: <yellow>Выполняйте перезарядку 2 секунды"""
train_title#0,"""4-я задача: <yellow>Выполнить перезарядку 2 секунды"""
tut_title#0,"""Перезарядка"""
text100#0,"""・Удерживайте 2 секунды <%WeaponAction>"""
text100_3b#0,"""・Удерживайте 2 секунды <%MainPaletteC>"""
tut_win_title#0,"""Парные ПП героя"""
tut_win_text100#0,"""При обычных атаках парные ПП героя потребляют PP.<br><br>Испльзуйте действие оружия \""Reload\"" (перезарядка),<br>чтобы восстановить PP.<br><br>Вы можете продолжить перезарядку, удерживая<br>кнопку действия оружия.<br><br>Кроме того, если вы попробуете выполнить перезарядку<br>в Just Attack, то скорость восстановления PP<br>увеличится."""
