name01#0,"""Сиерра"""
text01#0,"""Некоторые Фотон Арты талиса<br><red>продолжают действовать<br>даже после активации<c>!<br>\""Jet Wheel\"" одно из них."""
text02#0,"""Также есть такие Фотон Арты, как Dive Bullet, <red>через которые можно переключиться на определённое оружие<c>, например парные ПП!"""
text03#0,"""Попробуйте активировать Dive Bullet после Jet Wheel талиса, удерживая кнопку, чтобы переключиться на парные ПП."""
text101#0,"""6-я задача: <yellow>Скомбинируйте два Фотон Арта"""
train_title#0,"""6-я задача: <yellow>Скомбинировать два Фотон Арта"""
tut_title#0,"""Особое действие талиса"""
text100#0,"""・Активируйте Jet Wheel <%NormalAttack><br>・Во время активации Jet Wheel<br>нажмите и удерживайте<br>Dive Bullet <%PhotonArts>"""
text100_3b#0,"""・Активируйте Jet Wheel <%PhotonArts><br>・Во время активации Jet Wheel<br>нажмите и удерживайте<br>Dive Bullet <%MainPaletteC>"""
tut_win_title#0,"""Фотон Арты переключающие оружия"""
tut_win_text100#0,"""У каждого оружия имеется Фотон Арт, переключающий<br>оружия на другие типы оружия.<br><br>Оружие можно переключать нажатиме и удержанием<br>кнопки при использовании Фотон Артов.<br>Если просто без удержкания нажать<br>на кнопку использования данного Фотон Арта,<br>то данный Фотон Арт будет просто использован<br>без переключения на другое оружие."""
