11_voice_NPC_5008_101#0,"""<%me> 님!<br>잠깐 괜찮으신가요?"""
Fourie_favs_before_020#0,"""네, 이거 받으세요!<br>평소의 감사한 마음을 담았어요!"""
Fourie_favs_after_010#0,"""감사를 물건으로 표현하는 것도<br>조금 실례일까 싶었지만<br>다른 방법이 떠오르지 않아서……"""
Fourie_favs_after_020#0,"""아하하……<br>왠지 조금 부끄럽네요.<br>저, 캐스트인데도……"""
Fourie_favs_present_010#0,"""푸리에에게서 『클러스터 불릿』을 받았습니다."""
Fourie_favs_present_020#0,"""푸리에에게서 『콘센트레이트 원』을 받았습니다."""
Fourie_favs_present_030#0,"""푸리에에게서 『신시사이저』를 받았습니다."""
Fourie_favs_present_040#0,"""푸리에에게서 『크래커 불릿』을 받았습니다."""
Fourie_favs_present_050#0,"""푸리에에게서 『제로 디스턴스』를 받았습니다."""
Fourie_favs_present_060#0,"""푸리에에게서 『신시사이저』를 받았습니다."""
Fourie_favs_present_070#0,"""푸리에에게서 『신시사이저』를 받았습니다."""
Fourie_favs_present_080#0,"""푸리에에게서 『로데오 드라이브』를 받았습니다."""
Fourie_favs_present_090#0,"""푸리에에게서 『디바인 런처』를 받았습니다."""
Fourie_favs_present_100#0,"""푸리에에게서 『신시사이저』를 받았습니다."""
Fourie_favs_present_add_001#0,"""푸리에에게서 『<%skit_text>』를 받았습니다."""
11_voice_NPC_5008_100#0,"""저, 저기, 이래 보여도<br>낯을 가리고 긴장도 잘해요!<br>……네?\u3000스스로 할 말이 아니라고요?"""
11_voice_NPC_5008_106#0,"""그나저나, 정말 다들<br>강하시네요……<br>저도 더 정진해야겠어요."""
11_voice_NPC_5008_107#0,"""저, 저기요!<br>다치신 곳은 없나요?<br>괜찮으세요?"""
Fourie_03_020#0,"""저도 겪어 봐서 알게 됐어요.<br>다치면 정말 아프니까<br>조심해 주세요."""
11_voice_NPC_5008_101#1,"""<%me> 님!<br>안녕하세요!"""
Fourie_04_020#0,"""인사만큼은 힘차게!<br>그게 제 방침이에요!<br>……네, 조금 시끄럽다고요?"""
11_voice_NPC_5008_105#0,"""으음……이것도 아니고, 저것도 아니고"""
Fourie_05_020#0,"""아, <%me> 님!<br>인사가 늦어서 죄송해요.<br>옛날 자료를 찾고 있었거든요……"""
Fourie_05_030#0,"""언어 관련 번역 자료 같은 걸<br>다시 공부해 보려고요.<br>……조금 늦긴 했지만요."""
11_voice_NPC_5008_100#1,"""저, 아크스가 된 직후에는<br>전투를 주로 하는 활동을<br>하려고 생각했었어요."""
Fourie_06_020#0,"""그런데 지금은 거의 정반대네요.<br>후훗, 인생은 어떤 계기로<br>바뀔지 모르는 법이군요."""
11_voice_NPC_5008_104#0,"""으음……음, 으음……<br>……아, 죄송해요. 생각 중이었어요."""
Fourie_07_020#0,"""한 종족을 이해하려고 하는 건<br>여간 힘든 일이 아니네요.<br>그래도 즐거우니 괜찮아요."""
11_voice_NPC_5008_100#2,"""저는 원주민들과 교류하고 있어요.<br>하지만 아크스의 활동도 중요하다고<br>생각하고 있어요."""
Fourie_08_020#0,"""반드시 싸워야 할 때가 있어요.<br>그걸 알고 있기에<br>저는 아직 아크스인 거예요."""
11_voice_NPC_5008_101#2,"""새로운 세대 분들은 강하시네요.<br>유연하고 망설임도 없어서<br>저도 힘내야겠다는 생각이 들어요!"""
11_voice_NPC_5008_102#0,"""제가 사는 곳이요?\u3000당연히 여기죠.<br>설마 리리파에 산다고<br>생각하셨어요?\u3000정말 실례네요."""
Fourie_10_020#0,"""저도 그 정도는 잘 알아요.<br>……아, 하지만 요즘은 리리파에서<br>지내는 시간이 더 길지도 모르겠네요."""
