name01#0,"""Сиерра"""
text01#0,"""А теперь я вам расскажу про<br><red>Gear кастетов<c>!"""
text02#0,"""Gear кастетов <red>увеличивается<br>за счёт последовательных атак<c>,<br>а скорость атаки увеличивается<br>в зависимости от количества<br>заполненых шкал."""
text03#0,"""А теперь давайте выполним серию<br>атак, чтобы <red>полностью<br>заполнить Gear<c>."""
text101#0,"""3-я задача: <yellow>Полностью заполните Gear"""
train_title#0,"""3-я задача: <yellow>Полностью заполнить Gear"""
tut_title#0,"""Gear кастетов"""
text100#0,"""・С помощью обычных атак <%NormalAttack><br>заполните Gear"""
text100_3b#0,"""・С помощью обычных атак <%NormalAttack><br>заполните Gear"""
tut_win_title#0,"""Gear кастетов"""
tut_win_text100#0,"""Если вы изучите классовое умение \""Knuckle Gear\"",<br>то сможете усилить кастеты.<br><br>Продолжая последовательно атаковать, вы будете<br>накапливать Gear.<br><br>Скорость атаки будет увеличиваться в зависимости<br>от количества заполненых шкал Gear."""
