name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>класса файтер!"""
text02#0,"""Для начала мы потренеруемся<br>правильному использованию<br><red>Gear парных кинжалов<c>!"""
text03#0,"""Фотон Арты будут усиливаться<br>по мере заполнения шкалы<red>Gear<br>парных кинжалов<c>!"""
text04#0,"""А теперь, давайте используем<br>Фотон Арты с<red>2-я или более<br>шкалами Gear<c>."""
text101#0,"""1-я задача: <yellow>Используйте Фотон Арт с 2-я или более шкалами Gear"""
train_title#0,"""1-я задача: <yellow>Использовать Фотон Арт с 2-я или более шкалами Gear"""
tut_title#0,"""Gear парных кинжалов"""
text100#0,"""・Прыжок <%Jump> и последующее<br>использование <%WeaponAction>, чтобы<br>набрать 2 шкалы<br>・Использовать Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・Прыжок <%Jump> и последующее<br>использование <%MainPaletteC>, чтобы<br>набрать 2 шкалы<br>・Использовать Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Gear парных кинжалов"""
tut_win_text100#0,"""Изучив классовое умение \""Twin Dagger Gear\"",<br>вы сможете увеличить силу ваших парных кинжалов.<br><br>Шкала Gear будет увеличиваться, когда вы будете<br>прыгать и использовать действие оружия.<br><br>Сила Фотон Артов усиливается в соответствием<br>степенью заполнения шкалы Gear."""
