name01#0,"""Сиерра"""
text01#0,"""А теперь я расскажу вам о<br><red>Brave стойке<c>!"""
text02#0,"""Brave стойка - умение, которое<br><red>увеличивает урон при атаке<br>врага спереди<c>."""
text03#0,"""А теперь давайте одолеем врага<br>атакой с переди с Brave стойкой!"""
text101#0,"""4-я задача: <yellow>Победите врага с Brave стойкой"""
train_title#0,"""4-я задача: <yellow>Победить врага с Brave стойкой"""
tut_title#0,"""Brave стойка"""
text100#0,"""・Атакуйте врага спереди"""
text100_3b#0,"""・Атакуйте врага спереди"""
tut_win_title#0,"""Brave стойка"""
tut_win_text100#0,"""При активации Brave стойки, урон наносимый<br>противнику спереди будет увеличен.<br><br>При атаке со спины наносимый противнику<br>урон будет уменьшен."""
