name01#0,"""Сиерра"""
text01#0,"""Сейчас я расскажу вам о <red>Gear двойной глефы<c>!"""
text02#0,"""Двойная глефа при использовании<br>Gear <red>генерирует Kamaitachi<c>,<br>наносящий урон всему вокруг вас."""
text03#0,"""А теперь, давайте накопим<br><red>1 шкалу Gear и используем<br>Kamaitachi<c> для атаки по врагу."""
text101#0,"""2-я задача: <yellow>Вызовите Kamaitachi"""
train_title#0,"""2-я задача: <yellow>Вызвать Kamaitachi"""
tut_title#0,"""Gear двойной глефы"""
text100#0,"""・Атакуйте врага и накопите<br>1 шкалу Gear<br>・Использовать для Kamaitachi <%WeaponAction>"""
text100_3b#0,"""・Атакуйте врага и накопите<br>1 шкалу Gear<br>・Использовать для Kamaitachi <%MainPaletteC>"""
tut_win_title#0,"""Gear двойной глефы"""
tut_win_text100#0,"""Если вы освоите классовое умение<br>\""Double Saber Gear\"", то сможете увеличить силу<br>двойной глефы.<br><br>По мере атаки врагов, будут накапливаться шкалы Gear.<br><br>Gear можно накапливать с помощью действий оружия,<br>и расходовать с помощью Kamaitachi для нанесения<br>урона врагам вокруг."""
