name01#0,"""Сиерра"""
text01#0,"""А теперь я расскажу вам о<br><red>Wise стойке<c>!"""
text02#0,"""Wise стойка, это умение<br><red>увеличивающее урон при<br>атаке врага сзади<c>."""
text03#0,"""А теперь давайте активируем<br>Wise стойку и победим врага<br>со спины."""
text101#0,"""5-я задача: <yellow>Одолейте врага со спины<br>с Wise стойкой"""
train_title#0,"""5-я задача: <yellow>Одолеть врага со спины<br>с Wise стойкой"""
tut_title#0,"""Wise стойка"""
text100#0,"""・Активируйте Wise стойку<br>из под-палитры<br>・Атакуйте врага со спины"""
text100_3b#0,"""・Активируйте Wise стойку<br>из под-палитры<br>・Атакуйте врага со спины"""
tut_win_title#0,"""Wise стойка"""
tut_win_text100#0,"""Активированная Wise стойка увеличивает урон<br>наносимый по врагу сзади.<br><br>Если атаковать спереди, наносимый урон<br>будет уменьшен."""
