lvs_070010_0010#0,"""수천의 생명을 안고 싸워왔어"""
lvs_070010_0015#0,"""그건 꿈의 흔적 같은 재앙이었고"""
lvs_070010_0020#0,"""두려움에 커져버린 짐승들은 속삭여"""
lvs_070010_0025#0,"""「망설여라, 이제 때가 됐노라」"""
lvs_070010_0030#0,"""밝혀라 가슴속 살아갈 이유를 부서진대도"""
lvs_070010_0035#0,"""태어나버린 불꽃은 이 손에 있으니까"""
lvs_070010_0040#0,"""주저 말고 운명에 저항하라!"""
lvs_070010_0050#0,"""축복을 아아 고귀한 우리 투지에 빛이 깃들길"""
lvs_070010_0055#0,"""오만 없는 눈빛 몇 번이고 일어서라"""
lvs_070010_0060#0,"""숙명이여 아아 인연 믿는 자에게 길을"""
lvs_070010_0065#0,"""눈물도 사랑도 끝나지 않는 별들의 반짝임"""
lvs_070010_0070#0,"""중간에 끊긴 말들은 대지로 돌아가겠지"""
lvs_070010_0075#0,"""누구나 꿈꾸던 세상을 붙잡을 때까지"""
lvs_070010_0080#0,"""하늘에 반짝이던 그 동경을 새기고서"""
lvs_070010_0085#0,"""멈추지 말고 계속 걸어 나아가자"""
lvs_070010_0090#0,"""비춰라 이 순간을 꺼지지 않을 빛을 엮어내라"""
lvs_070010_0095#0,"""새겨진 증표가 이끄는 미래로"""
lvs_070010_0100#0,"""주저 말고 운명에 맞서라!"""
lvs_070010_0110#0,"""잔혹하게 아아 속박된 영혼들을 풀어내"""
lvs_070010_0115#0,"""이 목소리 언젠가 다할 때까지 불태우고 싶어"""
lvs_070010_0120#0,"""축제여 아아 계속 걸어가는 자에게 빛을"""
lvs_070010_0125#0,"""티 없는 너의 끝나지 않는 별들의 여정에"""
lvs_070010_0130#0,"""잔혹하게 아아 속박된 영혼들을 풀어내"""
lvs_070010_0135#0,"""이 목소리 언젠가 다할 때까지 불태우고 싶어"""
lvs_070010_0140#0,"""축제여 아아 계속 걸어가는 자에게 빛을"""
lvs_070010_0145#0,"""티 없는 너의 끝나지 않는 별들의 여정에"""
lvs_070010_0150#0,"""전하자"""
lvs_070010_0160#0,"""전쟁의 노래 ～Against fate～"""
lvs_070010_0170#0,"""나데레프"""
