msc_027020_0010#0,"""อ๊ะ มาแล้วสินะ"""
msc_027020_0020#0,"""สถานการณ์เป็นยังไงบ้าง?"""
msc_027020_0030#0,"""เกิดอะไรขึ้นกับฟาเรีย (Pharia) งั้นเหรอ?"""
msc_027020_0040#0,"""จู่ๆ ฟาเรีย (Pharia) ก็ทำตัวแปลกไป<br>ในระหว่างที่พวกเรากำลังคุยกันอยู่น่ะ"""
msc_027020_0050#0,"""เธออยากให้พวกเราเรียกเธอมาที่นี่น่ะ"""
msc_027020_0060#0,"""จู่ๆ ฟาเรีย (Pharia) ก็ทำตัวแปลกไป<br>ในระหว่างที่พวกเรากำลังคุยกันอยู่น่ะ"""
msc_027020_0070#0,"""เธออยากให้พวกเราเรียกเธอมาที่นี่น่ะ"""
msc_027020_0080#0,"""มากันครบแล้วสินะ"""
msc_027020_0090#0,"""...ฉันคือเซเฟตโต้ (Zephetto) ขอยืมร่างนี้ชั่วคราวหน่อยนะ"""
msc_027020_0100#0,"""ฟาเรีย (Pharia)? เมื่อกี้พูดว่าอะไรนะ?"""
msc_027020_0110#0,"""เซเฟตโต้ (Zephetto)?!"""
msc_027020_0120#0,"""...ฟังสิ่งที่ฉันจะพูดก่อนเถอะ"""
msc_027020_0130#0,"""ตอนนี้ฉันอยู่ในสถานที่แห่งหนึ่ง ไม่สามารถขยับตัวได้เลย"""
msc_027020_0140#0,"""...อนิจจา ดูเหมือนว่าฉันคงไม่สามารถ<br>พาตัวเองออกจากสถานการณ์นี้ได้ด้วยตัวเองหรอกนะ"""
msc_027020_0150#0,"""นั่นเป็นเหตุผลที่อยากจะขอความช่วยเหลือให้ช่วยพาหนีออกไปน่ะ"""
msc_027020_0160#0,"""ช่วยมาที่พิกัดที่กำลังจะส่งให้หน่อยนะ"""
msc_027020_0170#0,"""เดี๋ยวก่อน รอเดี๋ยวนึงนะ"""
msc_027020_0180#0,"""นาย... คือเซเฟตโต้ (Zephetto) จริงๆ งั้นเหรอ?"""
msc_027020_0190#0,"""ใช่แล้วล่ะ"""
msc_027020_0200#0,"""...เกิดอะไรขึ้นหลังจากที่ต่อสู้กันที่เลเซียล (Leciel) ล่ะ?"""
msc_027020_0210#0,"""แล้วที่บอกว่า 'ไม่สามารถขยับตัวได้' มันหมายความว่ายังไง?"""
msc_027020_0220#0,"""...แล้วสุดท้าย... ตอนนี้เกิดอะไรขึ้นกับฟาเรีย (Pharia) กันแน่?"""
msc_027020_0230#0,"""กำลังใช้ความสามารถบางอย่างควบคุมร่างกายบางส่วนของฟาเรีย (Pharia) อยู่น่ะ"""
msc_027020_0240#0,"""...ความสามารถงั้นเหรอ?"""
msc_027020_0250#0,"""จิตสำนึกของฟาเรีย (Pharia) ไม่ได้รับผลกระทบหรอกนะ<br>กำลังฟังอยู่ตลอดเลยใช่ไหม ฟาเรีย (Pharia)?"""
msc_027020_0260#0,"""...ค่ะ ได้ยินที่คุณพูดค่ะ เซเฟตโต้ (Zephetto)"""
msc_027020_0270#0,"""อ้อ ค่อยยังชั่วหน่อย เธอปลอดภัยดีสินะ"""
msc_027020_0280#0,"""ฉันจะอธิบายทุกอย่างให้ฟังที่สถานที่แห่งนั้นก็แล้วกัน"""
msc_027020_0290#0,"""ได้ให้ฟาเรีย (Pharia) 'จดจำ' เส้นทางที่จะมาหาฉันไว้แล้วล่ะ"""
msc_027020_0300#0,"""มาน่อน ฟาเรีย (Pharia) ไอน่า... แล้วก็เธอ 909"""
msc_027020_0310#0,"""มาที่นี่กันแค่สี่คนเท่านั้นนะ"""
msc_027020_0320#0,"""...จะรอนะ"""
msc_027020_0330#0,"""...เซเฟตโต้ (Zephetto)?"""
msc_027020_0340#0,"""..."""
msc_027020_0350#0,"""จิตสำนึกของเซเฟตโต้ (Zephetto) หายไปจากตัวฉันแล้วล่ะ"""
msc_027020_0360#0,"""นี่เป็นครั้งที่สองแล้วนะที่เขาไปดื้อๆ โดยไม่ยอมให้ใครได้พูดอะไรเลยน่ะ..."""
msc_027020_0370#0,"""ฟาเรีย (Pharia) รู้สึกยังไงบ้าง? ร่างกายไม่เป็นอะไรใช่ไหม?"""
msc_027020_0380#0,"""อื้ม ไม่เป็นไรหรอก"""
msc_027020_0390#0,"""...ค่อยยังชั่วหน่อย"""
msc_027020_0400#0,"""งั้นเซเฟตโต้ (Zephetto) ก็รอดชีวิตมาตลอดเลยสินะ..."""
msc_027020_0410#0,"""เขาช่าง... คาดเดาไม่ได้จริงๆ"""
msc_027020_0420#0,"""แต่ไม่นึกเลยนะว่าจะโผล่มาแบบนั้นน่ะ..."""
msc_027020_0430#0,"""นั่นสิ... ให้ตายเถอะ"""
msc_027020_0440#0,"""งั้น เซเฟตโต้ (Zephetto)..."""
msc_027020_0450#0,"""เขาสามารถ... ใช้ร่างกายของคนอื่นเพื่อสื่อสารสิ่งที่ตัวเองคิดได้งั้นเหรอ?"""
msc_027020_0460#0,"""...เอาเถอะ พวกเราจะมัวมายืนงงอยู่แบบนี้ไม่ได้หรอกนะ"""
msc_027020_0470#0,"""มาตั้งสติแล้วประเมินสถานการณ์กันก่อนเถอะ"""
msc_027020_0480#0,"""น-นั่นสินะ"""
msc_027020_0490#0,"""เข้าใจล่ะ..."""
msc_027020_0500#0,"""งั้นเซเฟตโต้ (Zephetto) ก็... อยู่ที่นี่สินะ"""
msc_027020_0510#0,"""ดูเหมือนจะเป็นแบบนั้นนะ"""
msc_027020_0520#0,"""นี่มันที่ไหนกันล่ะเนี่ย?"""
msc_027020_0530#0,"""สถานที่นี้เพิ่งจะถูกค้นพบงั้นเหรอ?"""
msc_027020_0540#0,"""มันคือสถานที่ที่เพิ่งจะถูกค้นพบระหว่างภารกิจลาดตระเวนที่เลเซียล (Leciel) น่ะ"""
