name_7211#0,"""Xiandy"""
ssn_019002_0001#0,"""Gracias por venir. Permítanme presentarme de nuevo."""
ssn_019002_0002#0,"""Como he dicho, mi nombre es Xiandy. Estoy estudiando varios fenómenos inusuales que ocurren en Halpha"""
ssn_019002_0003#0,"""Te he llamado porque necesito tu ayuda para investigar un fenómeno que se está produciendo actualmente."""
ssn_019002_0101#0,"""Muchas gracias. He recibido los datos de su batalla contra la Pedas Vera"""
ssn_019002_0102#0,"""Con esto, nuestro trabajo puede comenzar en serio. Utilizaremos los datos que nos habéis enviado para avanzar en nuestra investigación sobre estos enemigos."""
ssn_019002_0103#0,"""Cualquier información, por insignificante que parezca, puede resultar útil para futuras batallas si se analiza con detenimiento."""
ssn_019002_0104#0,"""Espero que el mayor número posible de ARKS regrese sano y salvo del campo de batalla..."""
ssn_019002_0105#0,"""Puedes cambiar los puntos que te han dado por recompensas. Hazme saber lo que necesitas"""
ssn_019002_0106#0,"""Te agradecería que me enviaras regularmente los datos de tus enfrentamientos con los enemigos marcados con el símbolo de la temporada."""
ssn_019002_0107#0,"""Gracias por su ayuda."""
npc_menu_0001#0,"""Aceptar tareas de eventos"""
npc_menu_0002#0,"""Cambiar puntos de temporada por objetos"""
npc_menu_0003#0,"""Close Menu"""
