msc_023140_0010#0,"""ฮัลโหล?!<br>มีใครได้ยินไหม?!"""
msc_023140_0020#0,"""นี่คือทีมฝึกฝนเอลิโอ (Aelio) หน่วยที่ 1!"""
msc_023140_0030#0,"""ไอน่า?!"""
msc_023140_0040#0,"""บอกหน่อยสิว่าปลอดภัยดีน่ะ!"""
msc_023140_0050#0,"""เอ๊ะ?! <%me>?!"""
msc_023140_0060#0,"""เสียงนั่น...!<br>มาถึงที่นี่เลยเหรอ?!"""
msc_023140_0070#0,"""ฟังนะ!<br>พวกเราทุกคนปลอดภัยดี"""
msc_023140_0080#0,"""แต่ว่า ตอนนี้พวกเราขยับไปไหนไม่ได้เลย<br>แถมยังถูกศัตรูล้อมไว้อีก"""
msc_023140_0090#0,"""เสียงประกอบ: ตัวประกอบหน่วยไอน่า①"""
msc_023140_0100#0,"""น-นี่มันควรจะเป็นแค่การเดินไปรีเทม (Retem) เฉยๆ ไม่ใช่เหรอ..."""
msc_023140_0110#0,"""นี่ไม่ใช่เส้นทางที่ปลอดภัยหรอกเหรอ?!"""
msc_023140_0120#0,"""เรื่องทั้งหมดนี้มันเริ่มขึ้นเพราะ<br>นายตัดสินใจไปโจมตีศัตรูตัวนั้นไม่ใช่หรือไง?"""
msc_023140_0130#0,"""ให้ตายสิ! จะไปรู้ได้ยังไงล่ะ<br>ว่าพวกมันจะแข็งแกร่งขนาดนั้นน่ะ?!"""
msc_023140_0140#0,"""ตอนที่ฝึกซ้อมก็จัดการพวกมันได้สบายๆ เลยนี่นา..."""
msc_023140_0150#0,"""เสียงประกอบ: ตัวประกอบหน่วยไอน่า②"""
msc_023140_0160#0,"""...อึก..."""
msc_023140_0170#0,"""พวกเราจะต้องไม่เป็นไร"""
msc_023140_0180#0,"""ฟังให้ดีนะทุกคน<br>พวกเราจะต้องกลับไปที่เอลิโอ (Aelio) ให้ได้"""
msc_023140_0190#0,"""เคยผ่านการต่อสู้แบบนี้<br>มานับครั้งไม่ถ้วนแล้วล่ะ"""
msc_023140_0200#0,"""ถึงจะไม่อยู่ในระดับเดียวกับ<br>ครอว์ฟอร์ด (Crawford) หรือบรูเดอร์ (Bruder) ก็เถอะ แต่ว่านะ..."""
msc_023140_0210#0,"""ได้เรียนรู้อะไรหลายๆ อย่างมาจากพวกเขา"""
msc_023140_0220#0,"""ได้เรียนรู้ว่าไม่ว่าสถานการณ์จะเลวร้ายแค่ไหน<br>ก็ยังมีหนทางให้เอาชนะได้เสมอ"""
msc_023140_0230#0,"""...แล้ว... หนทางที่ว่านั่นคืออะไรเหรอ?"""
msc_023140_0240#0,"""พลังของสมาชิก ARKS แต่ละคนยังไงล่ะ"""
msc_023140_0250#0,"""พวกเราจะเอาชนะได้ด้วยการรวมพลังทั้งหมดนี้เข้าด้วยกัน"""
msc_023140_0260#0,"""ด้วยการเชื่อใจในสหายร่วมรบ และลงมือทำเป็น<br>หนึ่งเดียวกัน พวกเราก็จะหาทางออกได้แน่"""
msc_023140_0270#0,"""คุณไอน่า..."""
msc_023140_0280#0,"""เอาล่ะ!<br>หยิบอาวุธขึ้นมา!"""
msc_023140_0290#0,"""พวกเรามีพันธมิตรสุดแกร่ง<br>กำลังเดินทางมาช่วยพวกเราแล้วนะ"""
msc_023140_0300#0,"""จนกว่าเขาจะมาถึง อยากจะให้หลีกเลี่ยงการต่อสู้ให้มากที่สุดเท่าที่จะทำได้<br>แต่ถ้าถูกศัตรูเจอเข้าล่ะก็ พวกเราก็จะสู้กลับตรงๆ เลย เข้าใจไหม?"""
msc_023140_0310#0,"""ทุกคนจะต้องไม่เป็นไร<br>แค่จำสิ่งที่สอนไปให้ดีก็พอ"""
msc_023140_0320#0,"""ถ้าเอาไปใช้จริงๆ ล่ะก็ ทุกคนจะต้องทำได้แน่"""
msc_023140_0330#0,"""ข-เข้าใจแล้ว!"""
msc_023140_0340#0,"""เชื่อมั่นในพลังแห่งสายสัมพันธ์<br>ที่พวกเราร่วมกันสร้างมาจนถึงตอนนี้สิ!"""
msc_023140_0350#0,"""พลังแห่งสายสัมพันธ์ของพวกเรา..."""
msc_023140_0360#0,"""เสียงประกอบ: ตัวประกอบหน่วยไอน่า③"""
msc_023140_0370#0,"""ได้ยินทั้งหมดแล้วใช่ไหม <%me>?"""
msc_023140_0380#0,"""พวกเราจะพยายามยื้อไว้ให้นานที่สุดเท่าที่จะทำได้ล่ะนะ"""
msc_023140_0390#0,"""เพราะงั้นรีบมาช่วยพวกเราทีนะ!"""
msc_023140_0400#0,"""กำลังไปเดี๋ยวนี้แหละ!"""
msc_023140_0410#0,"""อดทนไว้นะ!"""
msc_023140_0420#0,"""อื้ม! จะรอนะ!"""
