msc_023160_5010#0,"""ฮ่าห์! รับนี่ไปซะ! ลุยเลย!"""
msc_023160_5020#0,"""ฮึบ!"""
msc_023160_5030#0,"""อ๊ะ!"""
msc_023160_5040#0,"""หืม!"""
msc_023160_5050#0,"""ฮ่าห์!"""
msc_023160_5060#0,"""ย๊าก!"""
msc_023160_0010#0,"""(เสียงจอแจ: ทหารฝึกหัดในหน่วยของไอน่า ④)"""
msc_023160_0020#0,"""ดูขนาดตัวมันสิ...<br>แล้วพวกเราจะไปสู้ได้ยังไง..."""
msc_023160_0030#0,"""ไม่มีทาง มันเป็นไปไม่ได้หรอก"""
msc_023160_0040#0,"""พวกเราจะปลอดภัย"""
msc_023160_0050#0,"""คุณพูดอะไรน่ะ คุณไอน่า?!"""
msc_023160_0060#0,"""ทำไมคุณถึง...?"""
msc_023160_0070#0,"""คุณไอน่า?!"""
msc_023160_0080#0,"""ไม่ต้องห่วงหรอกนะ"""
msc_023160_0090#0,"""...พวกเขาจะต้องเห็นเจ้านี่แน่ๆ!"""
msc_023160_0100#0,"""ฉันรู้ว่าเธอต้องมา!"""
msc_023160_5110#0,"""ฮ่าห์!"""
msc_023160_5120#0,"""ย๊าก!"""
