msc_023180_0010#0,"""มาถึงขนาดนี้แล้ว ก็เบาใจได้แล้วล่ะ"""
msc_023180_0020#0,"""เดี๋ยวนะ..."""
msc_023180_0030#0,"""พวกเรา... รอดแล้วเหรอ?"""
msc_023180_0040#0,"""เสียงประกอบ: ตัวประกอบหน่วยไอน่า⑤"""
msc_023180_0050#0,"""ฟู่... รอดมาจนได้นะเนี่ย"""
msc_023180_0060#0,"""ต่อหน้าพวกเด็กใหม่ก็ทำเป็นเก่งแล้วบอกไปว่า<br>ทุกอย่างจะไม่เป็นไร แต่ลึกๆ แล้วกลัวแทบแย่เลยล่ะ"""
msc_023180_0070#0,"""แบบว่า<br>'ถ้าเกิดทำอะไรพลาดแล้วมีคนเจ็บขึ้นมาจะทำยังไงล่ะ?'..."""
msc_023180_0080#0,"""ดีใจจริงๆ ที่ได้เรียนรู้<br>อะไรมากมายจากผู้นำหลายๆ คนน่ะ"""
msc_023180_0090#0,"""ทำได้ดีมากเลยนะ"""
msc_023180_0100#0,"""เป็นครูฝึก (Instructor) เต็มตัวแล้วสินะ"""
msc_023180_0110#0,"""ขอบใจนะ..."""
msc_023180_0120#0,"""แต่คำชมนั้นควรจะมอบให้พวกเด็กใหม่มากกว่านะ"""
msc_023180_0130#0,"""ไม่หรอกน่า..."""
msc_023180_0140#0,"""ที่รอดมาได้ก็เพราะทุกคนร่วมมือกันต่างหากล่ะ"""
msc_023180_0150#0,"""พวกเขาทำได้ดีมากจริงๆ..."""
msc_023180_0160#0,"""ครูฝึก (Instructor) ไอน่า!"""
msc_023180_0170#0,"""ขอบคุณมากเลยนะ!"""
msc_023180_0180#0,"""ล-แล้วก็..."""
msc_023180_0190#0,"""ขอโทษด้วยนะ!"""
msc_023180_0200#0,"""เรื่องทั้งหมดนี้เกิดขึ้นก็เพราะฉันเอง..."""
msc_023180_0210#0,"""ไม่หรอก เป็นความผิดของฉันเองแหละที่ไม่ได้<br>บอกให้ชัดเจนว่าศัตรูมันแข็งแกร่งแค่ไหน"""
msc_023180_0220#0,"""ฉันต่างหากที่ควรจะขอโทษ<br>ที่พาทุกคนไปตกอยู่ในอันตรายแบบนั้นน่ะ"""
msc_023180_0230#0,"""โธ่ ครูฝึก (Instructor)..."""
msc_023180_0240#0,"""ขอถามอะไรหน่อยได้ไหม?"""
msc_023180_0250#0,"""เอ๊ะ? อะไรเหรอ?"""
msc_023180_0260#0,"""รู้เรื่องขาของฉันได้ยังไงน่ะ?"""
msc_023180_0270#0,"""ไปทำบาดเจ็บตอนที่แอบออกไปฝึกซ้อมใช่ไหมล่ะ?"""
msc_023180_0280#0,"""ก็ต้องคอยจับตาดูพวกเด็กใหม่อยู่แล้วนี่นา"""
msc_023180_0290#0,"""แล้วเรื่องสไตล์การต่อสู้ของฉันล่ะ?"""
msc_023180_0300#0,"""ที่บอกว่าควรจะสู้โดยการ<br>ปล่อยให้ศัตรูวิ่งเข้ามาหาแทน..."""
msc_023180_0310#0,"""การต่อสู้โดยเว้นระยะห่าง<br>จากเป้าหมายสักหน่อยมันง่ายกว่าใช่ไหมล่ะ?"""
msc_023180_0320#0,"""แต่เธอก็มักจะพุ่งเข้าหาเป้าหมายตลอดเลยนี่นา"""
msc_023180_0330#0,"""อ-เอ่อ นั่นสิ"""
msc_023180_0340#0,"""แต่ก็เพิ่งจะมารู้สึกตัวเอาเมื่อไม่นานมานี้เอง..."""
msc_023180_0350#0,"""ก็ไม่รู้เหมือนกันว่าทำไม ทั้งๆ ที่<br>คอยบอกอยู่ตลอดเลยนะว่าให้รักษาระยะห่างน่ะ"""
msc_023180_0360#0,"""คราวหน้า ลองเปลี่ยนไปใช้อาวุธแบบอื่น<br>ดูก็อาจจะไม่ใช่ความคิดที่แย่นะ ว่าไหม?"""
msc_023180_0370#0,"""ข... เข้าใจแล้วล่ะ..."""
msc_023180_0380#0,"""เอ่อ... ขอถามอีกเรื่องนึงสิ"""
msc_023180_0390#0,"""ทำไมตอนที่สู้อยู่<br>ถึงได้ยิงขึ้นไปบนฟ้าแบบนั้นล่ะ?"""
msc_023180_0400#0,"""อ้อ อันนั้นน่ะเหรอ?"""
msc_023180_0410#0,"""แค่อยากจะส่งสัญญาณบอกตำแหน่งของพวกเราน่ะ"""
msc_023180_0420#0,"""คิดว่าถ้า <%me> อยู่แถวนี้ล่ะก็<br>จะต้องสังเกตเห็นได้ทันทีแน่ๆ"""
msc_023180_0430#0,"""พอเห็นปุ๊บก็รู้เลยล่ะ"""
msc_023180_0440#0,"""ถ้าไม่ได้สัญญาณนั่น คงจะหาพวกเธอเจอได้ยากแน่ๆ"""
msc_023180_0450#0,"""ดีใจจังที่ส่งข้อความไปถึงน่ะ!"""
msc_023180_0460#0,"""นั่นคือ 'พลังแห่งสายสัมพันธ์' ใช่ไหมล่ะ?"""
msc_023180_0470#0,"""ฮะฮะฮะ... อันนี้คิดว่าน่าจะต่างออกไปนิดหน่อยนะ"""
msc_023180_0480#0,"""น่าจะเป็นความสามารถในการ<br>ตัดสินใจเฉพาะหน้าในระหว่างการต่อสู้มากกว่าล่ะมั้ง"""
msc_023180_0490#0,"""แต่พวกคุณสองคนเคลื่อนไหวเหมือนกับรู้ใจกันเลยนะ!"""
msc_023180_0500#0,"""ยังไม่ได้นัดแนะแผนการกันมาก่อนเลยแท้ๆ<br>แต่กลับเคลื่อนไหวได้โดยไม่ลังเลเลยสักนิด!"""
msc_023180_0510#0,"""เล่นเอาทึ่งไปเหมือนกันนะเนี่ย"""
msc_023180_0520#0,"""นี่สินะคือวิธีการต่อสู้ร่วมกันของวีรบุรุษที่เอาชนะ Dark Falz น่ะ..."""
msc_023180_0530#0,"""พวกเราจะพยายามให้เต็มที่เพื่อที่จะได้ต่อสู้แบบพวกคุณให้ได้สักวันหนึ่ง!"""
msc_023180_0540#0,"""ใช่ไหมล่ะ ลูก้า (Luka)?!"""
msc_023180_0550#0,"""...ม-ไม่ได้ตั้งใจจะ<br>จับคู่กับนายไปตลอดหรอกนะ จะบอกให้..."""
msc_023180_0560#0,"""เอ๊ะ? โ-โธ่ อย่าพูดแบบนั้นสิ..."""
msc_023180_0570#0,"""ฮะฮะฮะ กลับไปที่เอลิโอ (Aelio) กันก่อนดีไหม?"""
msc_023180_0580#0,"""แล้วค่อยไปคุยกันต่อสบายๆ ทีหลังนะ"""
