msc_020190_0010#0,"""เกิดอะไรขึ้นเหรอ?"""
msc_020190_0020#0,"""...พวกเธอเป็นคนสร้าง DOLLS ขึ้นมา<br>นั่นคือสิ่งที่เธอเพิ่งพูดสินะ"""
msc_020190_0030#0,"""งั้นเหตุผลที่ผู้คนมากมายต้องตาย...<br>เหตุผลที่หลายครอบครัวต้องพังทลาย..."""
msc_020190_0040#0,"""..."""
msc_020190_0050#0,"""ทั้งหมดนี้เป็นแค่การทดลองเล็กๆ ของพวกเธอที่<br>ดำเนินมาตั้งแต่ก่อนที่พวกเราจะเกิดซะอีกงั้นเหรอ?"""
msc_020190_0060#0,"""..."""
msc_020190_0070#0,"""ว่าไงล่ะ?!"""
msc_020190_0080#0,"""เกลน (Glen) ใจเย็นๆ ก่อน"""
msc_020190_0090#0,"""เรามาฟังทุกอย่างที่เธอจะพูดให้จบก่อนเถอะ"""
msc_020190_0100#0,"""ชิ..."""
msc_020190_0110#0,"""ต้องขออภัยด้วยครับ คุณฟาเรีย (Pharia) เชิญพูดต่อเลยครับ"""
msc_020190_0120#0,"""พวกเราสร้าง DOLLS ขึ้นมาและส่งพวกมันลงไปที่ฮาลฟา (Halpha) ค่ะ"""
msc_020190_0130#0,"""เพื่อจุดประสงค์อะไรกันล่ะ?"""
msc_020190_0140#0,"""เพื่อเตรียมพร้อมสำหรับวันแห่งการมาเยือน (Day of Arrival) ค่ะ"""
msc_020190_0150#0,"""เพื่อสร้าง..."""
msc_020190_0160#0,"""...ARKS ที่แข็งแกร่งยิ่งกว่าเดิมค่ะ"""
name01#0,"""???"""
