msc_020170_0010#0,"""แฮก..."""
msc_020170_0020#0,"""นั่นคือตัวสุดท้ายแล้ว..."""
msc_020170_0030#0,"""ใช่แล้ว! เราต้องช่วยพวกเขา!"""
msc_020170_0040#0,"""อ๊า... เจ้านี่มันเปิดยังไงนะ?"""
msc_020170_0050#0,"""ใครก็ตามที่อยู่ข้างในนั้น เป็นอะไรหรือเปล่าคะ?"""
msc_020170_0060#0,"""อ้อ จริงด้วย เจ้านี่มัน...<br>อึบ... ย่าห์!!"""
msc_020170_0070#0,"""เปิดแล้ว!<br>นี่ เป็นอะไรหรือเปล่า? ขยับตัวได้ไหม?"""
msc_020170_0080#0,"""แย่แล้ว! เธอได้รับบาดเจ็บนี่!"""
msc_020170_0090#0,"""...อึก...<br>...ต้อง... มาน่อน..."""
msc_020170_0100#0,"""มาน่อนงั้นเหรอ?!"""
msc_020170_0110#0,"""เธอรู้จักมาน่อนด้วยเหรอ?!"""
msc_020170_0120#0,"""นี่!"""
msc_020170_0130#0,"""ใจเย็นๆ ก่อน ไอน่า"""
msc_020170_0140#0,"""ฉ-ฉันขอโทษ"""
msc_020170_0150#0,"""...มาน่อนหายตัวไปน่ะ"""
msc_020170_0160#0,"""เธอหายตัวไปเหรอ? เกิดอะไรขึ้นเนี่ย?"""
msc_020170_0170#0,"""ครอว์ฟอร์ด (Crawford) บอกว่าเธอน่าจะไป... ที่นั่น"""
msc_020170_0180#0,"""ที่เกาะลอยฟ้า (Floating Island)... ที่เลเซียล (Leciel)"""
msc_020170_0190#0,"""ว่าไงนะ...?"""
msc_020170_0200#0,"""นั่นเป็นเหตุผลที่เราต้องหาวิธีไปที่นั่นด้วยตัวเองให้ได้..."""
msc_020170_0210#0,"""...ขอโทษนะ ฉันตามไม่ทันแล้ว"""
msc_020170_0220#0,"""ฉันจะไปขอรายละเอียดจากครอว์ฟอร์ด (Crawford) ทีหลังก็แล้วกัน"""
msc_020170_0230#0,"""แต่ก่อนอื่น เราต้องพาเด็กคนนั้นไปอยู่ในที่ปลอดภัยก่อน"""
msc_020170_0240#0,"""ศูนย์การแพทย์ของเซ็นทรัลซิตี้ (Central City) เพียบพร้อมกว่าของเรามาก..."""
msc_020170_0250#0,"""บรูเดอร์ (Bruder) คุณช่วยพาเธอไปส่งที่นั่นได้ไหม?"""
msc_020170_0260#0,"""รับทราบ"""
msc_020170_0270#0,"""ฟังนะ ฉันไม่แน่ใจว่าเกิดอะไรขึ้นกับมาน่อน แต่..."""
msc_020170_0280#0,"""...เป็นเวลานานมากที่ฉันมัวแต่หยุดนิ่งอยู่กับที่<br>พวกเธอสามคนเป็นคนที่ทำให้ฉันเริ่มก้าวเดินต่อไปได้อีกครั้ง"""
msc_020170_0290#0,"""และคนที่คอยขับเคลื่อนทุกอย่างให้เกิดขึ้นก็ไม่ใช่ใครอื่น นอกจากมาน่อน"""
msc_020170_0300#0,"""ฉันติดหนี้บุญคุณเธอไว้มากเลยล่ะ"""
msc_020170_0310#0,"""พวกเธอสามคนอยู่ในใจฉันเสมอ"""
msc_020170_0320#0,"""เมื่อไหร่ก็ตามที่พวกเธอต้องเผชิญกับความยากลำบาก พวกเรา ARKS แห่งรีเทม (Retem) จะคอยให้ความช่วยเหลือเสมอ"""
msc_020170_0330#0,"""อื้ม ขอบคุณนะทุกคน!"""
msc_020170_0335#0,"""อื้ม ขอบคุณนะ นาเดเรห์ (Nadereh)!"""
msc_020170_0340#0,"""เราเตรียมการขนย้ายเสร็จแล้ว พวกเรากำลังจะกลับไปที่เซ็นทรัล (Central)"""
msc_020170_0350#0,"""เข้าใจแล้ว"""
msc_020170_0360#0,"""หลังจากการโจมตีกะทันหันแบบนี้ ที่นี่คงจะวุ่นวายไปสักพัก แต่..."""
msc_020170_0370#0,"""ทันทีที่พวกเราตั้งหลักได้ ฉันจะคอยติดตามข่าวคราวของพวกเธอนะ"""
msc_020170_0380#0,"""ถ้ามีการต่อสู้เกิดขึ้น ฉันจะส่งกองกำลังไปช่วย"""
msc_020170_0390#0,"""ขอบคุณนะ แค่นี้ก็อุ่นใจขึ้นมากแล้วล่ะ"""
name01#0,"""???"""
