msc_020220_0010#0,"""ไง"""
msc_020220_0020#0,"""อิลม่า (Ilma)?!"""
msc_020220_0030#0,"""ครอว์ฟอร์ด (Crawford) เล่าเรื่องทั้งหมดให้ฉันฟังแล้วล่ะ<br>ดูเหมือนว่าสถานการณ์จะค่อนข้างตึงเครียดเลยนะ"""
msc_020220_0040#0,"""นี่คือเด็กผู้หญิงจากเกาะลอยฟ้า (Floating Island) เหรอ? จากเลเซียล (Leciel) สินะ?"""
msc_020220_0050#0,"""ฟาเรีย (Pharia) ค่ะ"""
msc_020220_0060#0,"""ไง ฟาเรีย (Pharia)<br>ฉันชื่ออิลม่า (Ilma) นะ"""
msc_020220_0070#0,"""...เอาล่ะ เข้าเรื่องกันเลยดีกว่า<br>เธอช่วยแสดงวิธีเข้าไปในเลเซียล (Leciel) ให้พวกเราดูหน่อยได้ไหม?"""
msc_020220_0080#0,"""เข้าใจแล้วค่ะ"""
msc_020220_0090#0,"""...มันไม่ทำงานค่ะ"""
msc_020220_0100#0,"""เกิดอะไรขึ้นเหรอ?"""
msc_020220_0110#0,"""มีปัญหาอะไรหรือเปล่าครับ?"""
msc_020220_0120#0,"""..."""
msc_020220_0130#0,"""ค่ะ..."""
msc_020220_0140#0,"""เครื่องเทเลพอร์ต (Teleporter) ไม่ยอมทำงาน<br>ดูเหมือนว่ามันจะถูกล็อกเอาไว้น่ะค่ะ"""
msc_020220_0150#0,"""ดูเหมือนว่านี่จะเป็น<br>หน้าที่ของฉันแล้วล่ะนะ"""
msc_020220_0160#0,"""...ไม่อยากจะเชื่อเลยว่าเลเซียล (Leciel) จะทำหน้าที่เป็นหน่วยควบคุมของฮาลฟา (Halpha)..."""
msc_020220_0170#0,"""ยิ่งไปกว่านั้น มันยังส่ง DOLLS และ<br>Meteorn ลงมาเพื่อให้ต่อสู้กันเองอีก"""
msc_020220_0180#0,"""ยอมรับเลยว่า แม้แต่ฉันเอง<br>ก็ยังไม่ค่อยอยากจะเชื่อในตอนแรก"""
msc_020220_0190#0,"""..."""
msc_020220_0200#0,"""นี่ ขอคุยด้วยหน่อยได้ไหม?"""
msc_020220_0210#0,"""ได้ค่ะ"""
msc_020220_0220#0,"""เธอดูคล้ายกับมาน่อนตอนที่เธอมาที่นี่แรกๆ เลยนะ"""
msc_020220_0230#0,"""อย่างนั้นเหรอคะ"""
msc_020220_0240#0,"""ใช่ ท่าทางของเธอน่ะ<br>ฉันขอถามเรื่องเกี่ยวกับมาน่อนอีกสักหน่อยได้ไหม?"""
msc_020220_0250#0,"""ถ้ามันอยู่ในขอบเขตที่ฉันสามารถตอบได้นะคะ"""
msc_020220_0260#0,"""อืม แค่นั้นก็พอแล้ว"""
msc_020220_0270#0,"""เธอรู้จักมาน่อนได้ยังไงเหรอ?"""
msc_020220_0280#0,"""ฉันเป็นกำลังเสริมของมาน่อนค่ะ"""
msc_020220_0290#0,"""ฉันคอยติดตามความเคลื่อนไหวของเธอ หากมีปัญหาเกิดขึ้น<br>ฉันก็จะให้ความช่วยเหลือเธอค่ะ"""
msc_020220_0300#0,"""งั้นเธอก็คอยเฝ้าดูมาน่อนมาตลอดเลยเหรอ? จากเลเซียล (Leciel) น่ะนะ?"""
msc_020220_0310#0,"""ใช่ค่ะ"""
msc_020220_0320#0,"""ดังนั้น พอเธอเจอกับปัญหานี้เข้า..."""
msc_020220_0330#0,"""มันไม่ใช่สิ่งที่เธอจะแก้ปัญหาได้จากบนเลเซียล (Leciel)<br>เธอก็เลยมาขอความช่วยเหลือจากพวกเราสินะ?"""
msc_020220_0340#0,"""ถูกต้องแล้วค่ะ"""
msc_020220_0350#0,"""อืม... เข้าใจล่ะ"""
msc_020220_0360#0,"""...เอ่อ... งั้นคำถามต่อไปนะ"""
msc_020220_0370#0,"""มาน่อนมาทำอะไรที่ฮาลฟา (Halpha) แห่งนี้เหรอ?"""
msc_020220_0380#0,"""เพื่อบันทึกข้อมูลของโปรเจกต์ที่สาม (Third Project) ค่ะ"""
msc_020220_0390#0,"""บทบาทของมาน่อนคือการจัดเก็บข้อมูลและบันทึก<br>การต่อสู้ระหว่าง ARKS และ Dark Falz ค่ะ"""
msc_020220_0400#0,"""เธอบันทึกข้อมูล... การต่อสู้งั้นเหรอ...?"""
msc_020220_0410#0,"""มาน่อนรู้เรื่องทั้งหมดนี้มาตลอดเลยเหรอ?"""
msc_020220_0420#0,"""มาน่อนเป็นคนจัดการต่อสู้พวกนี้งั้นเหรอ?"""
msc_020220_0430#0,"""ไม่ใช่ค่ะ เธอได้รับแจ้งแค่สิ่งที่จำเป็นต้องรู้เท่านั้น"""
msc_020220_0440#0,"""ไม่ใช่ค่ะ เธอแค่เฝ้าดูเหตุการณ์ที่เกิดขึ้นแล้วรายงานผลลัพธ์เท่านั้น"""
msc_020220_0450#0,"""งั้นเธอก็ไม่ใช่ผู้นำของโปรเจกต์นี้... เป็นแค่ผู้สังเกตการณ์สินะ?"""
msc_020220_0460#0,"""ใช่ค่ะ"""
msc_020220_0470#0,"""เอ่อ... หมายความว่า...?"""
msc_020220_0480#0,"""พูดง่ายๆ ก็คือ สิ่งที่เธอต้องทำก็แค่เฝ้าดูผู้คนบนฮาลฟา (Halpha) เท่านั้นสินะ"""
msc_020220_0490#0,"""เธออาจจะแค่รักษาระยะห่างและทำตัวกลมกลืนไปเหมือนเป็น Meteorn ทั่วไปก็ได้นี่นา"""
msc_020220_0500#0,"""แต่นี่หมายความว่า เท่าที่ฉันรู้ มาน่อนจงใจ<br>เข้ามามีส่วนร่วมกับพวกเราด้วยตัวเองเลยนะ"""
msc_020220_0510#0,"""บางทีเธออาจจะเปลี่ยนใจหลังจากที่มาถึงที่นี่แล้วก็ได้?"""
msc_020220_0520#0,"""มาน่อน..."""
msc_020220_0530#0,"""แล้วทำไมมาน่อนถึงกลับไปที่เลเซียล (Leciel) ล่ะ?"""
msc_020220_0540#0,"""มีคนอื่นอยู่บนเลเซียล (Leciel) อีกเหรอ?"""
msc_020220_0550#0,"""เธอตั้งใจจะไปหยุดเซเฟตโต้ (Zephetto) ค่ะ"""
msc_020220_0560#0,"""...เซเฟตโต้ (Zephetto) อยู่บนเลเซียล (Leciel) ค่ะ"""
msc_020220_0570#0,"""เซเฟตโต้ (Zephetto)?"""
msc_020220_0580#0,"""ผู้ดูแลระบบการทดลองบนฮาลฟา (Halpha) ค่ะ<br>ผู้ปกครองของ Resurgent ARKS"""
msc_020220_0590#0,"""แล้วเซเฟตโต้ (Zephetto) คนนี้ก็คือคนที่เริ่ม 'การทดลอง' นี้งั้นเหรอครับ?"""
msc_020220_0600#0,"""ตามบันทึกแล้ว ใช่ค่ะ"""
msc_020220_0610#0,"""...เข้าใจแล้วครับ"""
msc_020220_0620#0,"""เซเฟตโต้ (Zephetto) คือผู้ที่สร้างพวกเราขึ้นมาค่ะ<br>เปรียบเหมือน... พ่อหรือแม่น่ะค่ะ"""
msc_020220_0630#0,"""พ่อ... หรือแม่ งั้นเหรอ..."""
msc_020220_0640#0,"""นั่นค่อนข้างจะเป็นครอบครัว<br>ที่ไม่ธรรมดาเลยนะเนี่ย"""
msc_020220_0650#0,"""ถ้าหากเซเฟตโต้ (Zephetto) มี<br>อำนาจเบ็ดเสร็จในเลเซียล (Leciel)..."""
msc_020220_0660#0,"""ถ้างั้น หากพวกเราสามารถโน้มน้าวเขา หรือปลดอาวุธเขาได้<br>สงครามกับพวก DOLLS ก็จะจบลง..."""
msc_020220_0670#0,"""การทดลองนี้เริ่มขึ้นตั้งแต่เมื่อไหร่ครับ?"""
msc_020220_0680#0,"""ตามบันทึกแล้ว มันเริ่มขึ้นเมื่อ 300 ปีก่อนค่ะ"""
msc_020220_0690#0,"""300 ปีเลยเหรอ?!"""
msc_020220_0700#0,"""..."""
msc_020220_0710#0,"""ถ้างั้น... ARKS จำนวนนับไม่ถ้วนก็ถูก<br>สังเวยให้กับการทดลองนี้มาตลอด..."""
msc_020220_0720#0,"""..."""
msc_020220_0730#0,"""แล้วอะไรคือเหตุผลสำคัญที่สุด<br>ที่ทำให้มาน่อนตัดสินใจเผชิญหน้ากับเซเฟตโต้ (Zephetto) ล่ะ?"""
msc_020220_0740#0,"""...ฉันเองก็ไม่แน่ใจค่ะ"""
msc_020220_0750#0,"""...แต่ว่า ก็มีอยู่อย่างนึง..."""
msc_020220_0760#0,"""ตอนที่ฉันติดตามข้อมูลของมาน่อน<br>ฉันสัมผัสได้ถึงความรู้สึกโกรธเกรี้ยวอย่างรุนแรงค่ะ"""
msc_020220_0770#0,"""โกรธเซเฟตโต้ (Zephetto) งั้นเหรอ?"""
msc_020220_0780#0,"""ใช่ค่ะ"""
msc_020220_0790#0,"""งั้นมาน่อนก็ตั้งใจที่จะ<br>ยุติเรื่องนี้ด้วยตัวเธอเองจริงๆ สินะ"""
msc_020220_0800#0,"""แต่นั่นมัน... บุ่มบ่ามเกินไปแล้วนะ..."""
msc_020220_0810#0,"""..."""
msc_020220_0820#0,"""หืม?"""
msc_020220_0830#0,"""เปิดใช้งานเครื่องเทเลพอร์ต (Teleporter) สำเร็จแล้ว"""
msc_020220_0840#0,"""นี่คือเครื่องเทเลพอร์ต (Teleporter) งั้นเหรอ?"""
msc_020220_0850#0,"""แต่นี่มันสำหรับระยะใกล้ไม่ใช่เหรอ?"""
msc_020220_0860#0,"""ถึงจะดูเหมือนแบบนั้น แต่มัน<br>ทรงพลังกว่าเป็นร้อยเท่าเลยล่ะ"""
msc_020220_0870#0,"""ถึงจะไม่มีสนามพลัง Photon (Photon Field) ที่เสถียร<br>แต่มันก็สามารถส่งไปได้ในระยะทางที่ไกลมากๆ เลย"""
msc_020220_0880#0,"""โห"""
msc_020220_0890#0,"""เอาล่ะ ไปเรียกทุกคนมาแล้ว<br>ขึ้นไปบนสิ่งที่เรียกว่าเลเซียล (Leciel) กันเถอะ"""
msc_020220_0900#0,"""ได้ยินไหมครับ?"""
msc_020220_0910#0,"""อ้อ ครอว์ฟอร์ด (Crawford) มาได้จังหวะพอดีเลย"""
msc_020220_0920#0,"""เราเพิ่งเตรียมตัว<br>จะมุ่งหน้าไปที่เลเซียล (Leciel) เสร็จพอดี ก--"""
msc_020220_0930#0,"""ไม่ครับ การบุกเข้าไปใน<br>เลเซียล (Leciel) คงต้องรอไปก่อน"""
msc_020220_0940#0,"""เกิดอะไรขึ้นเหรอ?"""
msc_020220_0950#0,"""การบุกโจมตีครั้งใหญ่จากพวก DOLLS น่ะครับ<br>ตอนนี้พวกมันกำลังร่วงหล่นลงมาทั่วทั้งฮาลฟา (Halpha) เลย"""
msc_020220_0960#0,"""พวกมันอะไรนะ?!"""
msc_020220_0970#0,"""ทางฉันไม่ได้ยินอะไรเลยนะ... คุณกำลังจะบอกว่า<br>พวกมันหลบหลีกเครือข่ายความปลอดภัยของฉันได้ทั้งหมดเลยงั้นเหรอ?"""
msc_020220_0980#0,"""เป็นเรื่องจริงครับ ไม่อยากจะเชื่อเลย"""
msc_020220_0990#0,"""ผมส่งข่าวไปหาไทวาส (Taivas) แล้ว ผมจะส่ง<br>กำลังสนับสนุนทั้งหมดที่เรามีไปให้นะครับ"""
