name010#0,"""Guiden."""
name020#0,"""Bruder."""
text010#0,"""A partir de aquí, deberá utilizar todo lo que ha aprendido."""
Text_Dash#0,"""Dash;"""
Button_Dash_Pad#0,"""Mantener <%Avoid>"""
Button_Dash_Key#0,"""Presione dos veces una tecla de movimiento y manténgala presionada."""
Text_DoubleJump#0,"""Double-Jump;"""
Button_DoubleJump#0,"""Presione <%Jump> mientras salta"""
text_WallKick#0,"""Wall Kick;"""
Button_WallKick#0,"""Mientras saltas, toca la pared"""
Button_WallKick2_Pad#0,"""Manténgase sosteniendo <%LStick> hacia la pared"""
Button_WallKick2_Key#0,"""Sigue manteniendo las teclas de movimiento hacia la pared"""
Button_WallKick2#0,"""Mientras salta"""
Button_WallKick2_Manual#0,"""Toque la pared y pulse <%Jump>"""
