name010#0,"""Guiden."""
name020#0,"""Bruder."""
text010#0,"""A continuación, intente utilizar esta nueva habilidad. Se llama Wall Kick."""
text020#0,"""Úselo para superar esa pared."""
Text_Dash#0,"""Dash;"""
Button_Dash_Pad#0,"""Mantener <%Avoid>"""
Button_Dash_Key#0,"""Presione una tecla de movimiento dos veces y manténgala presionada."""
Text_DoubleJump#0,"""Double-Jump;"""
Button_DoubleJump#0,"""Pulsa <%Jump> mientras saltas"""
text_WallKick#0,"""Wall Kick;"""
Button_WallKick#0,"""Mientras saltas, toca la pared"""
Button_WallKick2_Pad#0,"""Sigue presionando <%LStick> hacia la pared"""
Button_WallKick2_Key#0,"""Mantenga presionadas la tecla de movimiento hacia la pared"""
Button_WallKick2#0,"""Mientras salta"""
Button_WallKick2_Manual#0,"""Toca la pared y presiona <%Jump>"""
