name_7008#0,"""롯사"""
msn_011065_010_0010#0,"""오, 드디어 내 차례구나."""
msn_011065_010_0020#0,"""직접 얼굴을 마주하고 얘기하고 싶으니,<br>이쪽으로 좀 와 줘. 기다리고 있을게."""
msn_011065_010_0030#0,"""롯사야.<br>잘 부탁해."""
msn_011065_010_0040#0,"""내가 가르쳐 줄 건 \""무기의 강화\""에 관한 거야."""
msn_011065_010_0050#0,"""무기나 방어구는,<br>강화를 하면 성능이 좋아져."""
msn_011065_010_0060#0,"""강화에는 \""강화 재료\""라고 불리는<br>다른 무기 같은 거랑, \""N-그라인더\""라는 게 필요해."""
msn_011065_010_0070#0,"""음, 이것 저것 모아와줘… 라는 것도<br>뭔가 귀찮네."""
msn_011065_010_0080#0,"""이번에는 둘 다 해줄테니,<br>\""아이템 랩\""에서 강화해 줘."""
msn_011065_010_0401#0,"""프림 소드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0402#0,"""프림 너클을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0403#0,"""프림 라이플을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0404#0,"""프림 머신건을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0405#0,"""프림 로드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0406#0,"""프림 완드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0501#0,"""프림 소드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0502#0,"""프림 너클을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0503#0,"""프림 라이플을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0504#0,"""프림 머신건을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0505#0,"""프림 로드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0506#0,"""프림 완드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0407#0,"""프림 카타나를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0507#0,"""프림 카타나를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0408#0,"""프림 부츠를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0508#0,"""프림 부츠를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0409#0,"""프림 택트를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0509#0,"""프림 택트를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0410#0,"""프림 슬래시를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 획득했습니다."""
msn_011065_010_0510#0,"""프림 슬래시를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 획득했습니다."""
