name_7661#0,"""Basinia"""
ssn_013010_0001#0,"""¡Bienvenido a Ciudad Central! Me alegro de tenerte."""
ssn_013010_0002#0,"""Todavía estás tratando de aprender las cuerdas, ¿verdad? Puede ser un poco abrumador, así que da lo mejor de ti, ¿de acuerdo?"""
ssn_013010_0101#0,"""¿Estás familiarizado con las torres? ...Oh, no como la grande aquí en Ciudad Central."""
ssn_013010_0102#0,"""Si no lo estás, entonces te pondré al corriente."""
ssn_013010_0201#0,"""Si tienes curiosidad, entonces ven a verme más tarde"""
ssn_013010_0103#0,"""Parece que tu Nivel de Poder es lo suficientemente alto. Tal y como están las cosas, creo que podrías ir a desafiar a una de las Torres cuando quieras."""
ssn_013010_0104#0,"""Probablemente deberías aumentar tu Nivel de Poder para cuando llegue ese momento. ¿De acuerdo? ¡Buena suerte!"""
ssn_013010_0151#0,"""Las torres, al igual que los capullos, son Trainia, es decir, instalaciones de entrenamiento."""
ssn_013010_0152#0,"""Tienen un estilo similar al de los Capullos, pero seguro que puedes adivinar en qué se diferencian a simple vista."""
ssn_013010_0153#0,"""El interior de una Torre es mucho más vasto, y los oponentes son mucho más fuertes, así que asegúrate de aumentar mucho tu Nivel de Poder antes de desafiar a una."""
ssn_013010_0154#0,"""Alright? Buena suerte"""
ssn_013010_0301#0,"""Las torres son mucho más efectivas que los capullos a la hora de hacerte más fuerte, así que si encuentras alguna otra, asegúrate de probarla finalmente"""
ssn_013010_0302#0,"""Lo mismo ocurre con esas; asegúrate de que tu nivel de poder es lo suficientemente alto antes de enfrentarte a ellas."""
ssn_013010_0303#0,"""Oh, right. Hablando de Nivel de Poder..."""
ssn_013010_0304#0,"""Si tu Nivel de Poder no es lo suficientemente alto, no te dejarán participar en ciertas Misiones de Emergencia u otras cosas peligrosas por el estilo."""
ssn_013010_0305#0,"""Así que deberías centrarte en aumentar tu nivel de poder para cuando llegue ese momento. ¿De acuerdo? Buena suerte"""
