name_7661#0,"""Basinia"""
ssq_013020_0010#0,"""Buen trabajo. Parece que has despejado la Torre de forma segura. ¡Impresionante!"""
ssq_013020_0020#0,"""Las torres son mucho más efectivas que los capullos a la hora de hacerte más fuerte, así que si encuentras alguna otra, asegúrate de probarla finalmente."""
ssq_013020_0030#0,"""Sigue aumentando tu nivel de poder para poder enfrentarte a ellas, ¿vale?"""
ssq_013020_0035#0,"""Oh, bien. Hablando de Nivel de Poder..."""
ssq_013020_0040#0,"""Si tu Nivel de Poder no es lo suficientemente alto, no te dejarán participar en ciertas Misiones de Emergencia u otras cosas peligrosas por el estilo."""
ssq_013020_0050#0,"""Así que esa es otra razón para aumentar tu Nivel de Poder tanto como puedas. ¿De acuerdo? ¡Buena suerte!"""
ssq_013020_0201#0,""...Espera, ¡¿ya has limpiado una Torre?!"""
ssq_013020_0202#0,"""¡Por qué no me lo dijiste antes! Dios, ahora estoy avergonzado."""
ssq_013020_0203#0,"""Parece que tú también has conseguido aumentar tu Nivel de Poder."""
ssq_013020_0213#0,"""Oh, bien. Hablando de Nivel de Poder..."""
ssq_013020_0204#0,"""Si tu Nivel de Poder no es lo suficientemente alto, no te dejarán participar en ciertas Misiones de Emergencia u otras cosas peligrosas por el estilo."""
ssq_013020_0205#0,"""Así que esa es otra razón para seguir aumentando tu Nivel de Poder tanto como puedas. ¿De acuerdo? Buena suerte"""
