name_7211#0,"""Шанди"""
ssn_019040_002_0001#0,"""Спасибо вам, что пришли.<br>Позвольте мне представиться снова."""
ssn_019040_002_0002#0,"""Меня зовут Шанди. Я изучаю различные аномальные<br>явления, происходящие на Хальфе."""
ssn_019040_002_0003#0,"""На этот раз... у меня к вам правда небольшая просьба.<br>В городе сейчас можно найти голограммы, которые можно<br>увидеть в городе только в это время."""
ssn_019040_002_0004#0,"""Такие голограммы называются озорными символами,<br>так что если найдёте их, дайте мне знать."""
ssn_019040_002_0005#0,"""Появившиеся сейчас озорные символы заставляют меня волноваться,<br>когда я смотрю на них. Какое-то странное чувство."""
ssn_019040_002_0006#0,"""Аномалия заметна только в Централ-Сити. Врагов сезона нет.<br>Так что, надеюсь, вы постепенно сможете найти все<br>озорные символы."""
ssn_019040_002_0007#0,"""Конечно же без награды вы не останетесь."""
ssn_019040_002_0008#0,"""Надеюсь на плодотворное сотрудничество."""
ssn_019040_002_0009#0,"""Спасибо, что пришли."""
ssn_019040_002_0010#0,"""В этот раз, я хотела бы снова попросить<br>вас исследовать озорные символы."""
ssn_019040_002_0011#0,"""Вы ведь помните что их себя представляют озорные символы?<br>Это загадочные голографические объекты, которые сейчас<br>можно увидеть в городе."""
ssn_019040_002_0012#0,"""В голограммах, появляющихся время от времени,<br>всё ещё есть много необъяснимого."""
ssn_019040_002_0013#0,"""Считается, что это часть функций города, но<br>не известно, какая система ими управляет."""
