11_voice_NPC_5305_100#0,"""Welcome to Franka's Cafe! Come in and take the weight off your feet!"""
11_voice_NPC_5305_100#1,"""Oh, you, good timing! Got a minute?"""
favs_before_020#0,"""It's OK, I don't have a request for you. The opposite, in fact."""
favs_before_030#0,"""Here it is. It's a gift for you."""
favs_after_010#0,"""You're always doing things for me, so I guess this is my way of thanking you?"""
favs_after_020#0,"""I've got plenty more things to ask from you, so you can consider it payment in advance as well."""
favs_after_030#0,"""Alright, see you soon!"""
11_voice_NPC_5305_100#2,"""あら、忙しそうね。<br>どうかしたの？"""
Kuro_01_020#0,"""えっ、最近アークス・シップの中を<br>ウロウロしてる、あのネコちゃん？<br>どう思うかって、そうねぇ……"""
Kuro_01_030#0,"""……美味しそうかな、って……"""
Kuro_01_040#0,"""あっ、ううん、何でもないわ！<br>今のは忘れて！<br>それじゃあね！"""
sierra_010#0,"""Oh, the taste of these sweets? Those girls didn't waste any time making these. Did you put my ingredients to good use?"""
11_voice_NPC_5305_101#0,"""I'm looking forward to finding out. Firstly, this chocolate mango tart... Mm, it's delicious, the ingredients have really come to life!"""
11_voice_NPC_5305_100#3,"""And this one... Is it a pie? Wow, a dozen mantis shrimp are looking me right in the eye! Very innovative!"""
11_voice_NPC_5305_106#0,"""The taste is... Oho! Wheew! My, my body is aching all over... How exciting! If you use this right, you could take over the world..."""
sierra_050#0,"""Heheh, both of those sweets were very nice. I was surprised by how far they strayed outside the bounds of common sense. Please tell them that I found them very stimulating!"""
favs_present_110#0,"""Received <yellow>Cook Hat<c> from Franka."""
favs_present_120#0,"""Received <yellow>White Apron<c> from Franka."""
favs_present_130#0,"""Received <yellow>*Franka's Frying Pan<c> from Franka."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Franka."""
11_voice_NPC_5305_100#4,"""Hm? You're wondering about this outfit? This is a chef's uniform. I think of it as my battle suit!"""
11_voice_NPC_5305_100#5,"""うーん、誰しもが舌なめずりするような<br>すーっごい料理、作ってみたいわぁー！"""
11_voice_NPC_5305_100#6,"""うーん、誰しもが舌なめずりするような<br>すーっごい料理、作ってみたいわぁー！"""
11_voice_NPC_5051_104#0,"""やっぱりね、人工の素材のみで<br>作られた料理だけだと、みーんな<br>飽きてくるんだって。"""
11_voice_NPC_5051_104#1,"""やっぱりね、人工の素材のみで<br>作られた料理だけだと、みーんな<br>飽きてくるんだって。"""
11_voice_NPC_5051_101#0,"""料理とは挑戦なり！<br>これ、料理人が忘れちゃいけない<br>心得なのよ、ステキでしょ？"""
11_voice_NPC_5051_101#1,"""料理とは挑戦なり！<br>これ、料理人が忘れちゃいけない<br>心得なのよ、ステキでしょ？"""
11_voice_NPC_5305_100#7,"""食材は鮮度が命！<br>だから、なるべく早く持ってきてね！<br>それがおいしさの秘訣なんだから！"""
11_voice_NPC_5305_100#8,"""食材は鮮度が命！<br>だから、なるべく早く持ってきてね！<br>それがおいしさの秘訣なんだから！"""
11_voice_NPC_5305_100#9,"""食材は鮮度が命！<br>だから、なるべく早く持ってきてね！<br>それがおいしさの秘訣なんだから！"""
11_voice_NPC_5305_100#10,"""食材は鮮度が命！<br>だから、なるべく早く持ってきてね！<br>それがおいしさの秘訣なんだから！"""
11_voice_NPC_5305_100#11,"""食材は鮮度が命！<br>だから、なるべく早く持ってきてね！<br>それがおいしさの秘訣なんだから！"""
11_voice_NPC_5305_100#12,"""いついかなるときも、食材への感謝と<br>食事の楽しさを忘れるなかれ！"""
Npc51_mb12_020#0,"""それを楽しみにするだけで<br>生きる意味が出てくるってものよ！"""
11_voice_NPC_5305_100#13,"""いついかなるときも、食材への感謝と<br>食事の楽しさを忘れるなかれ！"""
Npc51_mb13_020#0,"""それを楽しみにするだけで<br>生きる意味が出てくるってものよ！"""
11_voice_NPC_5305_100#14,"""いついかなるときも、食材への感謝と<br>食事の楽しさを忘れるなかれ！"""
Npc51_mb14_020#0,"""それを楽しみにするだけで<br>生きる意味が出てくるってものよ！"""
11_voice_NPC_5305_100#15,"""こういうときこそ、食材への感謝と<br>食事の楽しさを噛みしめるときだよ！"""
11_voice_NPC_5305_100#16,"""料理人である以上は<br>食材に精通していることはもちろん<br>挑戦する心を忘れちゃダメだと思うの！"""
Npc51_mb21_020#0,"""どうすれば食べられるのか<br>どう調理すれば美味しくなるのか<br>常に考えて勉強していかないと！"""
11_voice_NPC_5305_100#17,"""心身を休ませるためには<br>必要なのは、休息と美味しい食事よ。"""
Npc51_mb23_after_020#0,"""身体にいいものを食べて<br>ゆっくり休めば、大丈夫！"""
11_voice_NPC_5305_100#18,"""美味しくて栄養満点の食事は<br>元気の源になるわ。"""
Npc51_mb24_after_020#0,"""だからどんな時でも<br>きちんとしっかり食べる。<br>これが大事なのよ。"""
11_voice_NPC_5305_100#19,"""フランカ’s カフェへようこそ！<br>ここはその名の通り、私の店よ！"""
sq01_020#0,"""みんなが安らげる場所を目指してるの！<br>ゆっくりくつろいでいってね！"""
11_voice_NPC_5305_100#20,"""Welcome to Franka's Cafe! As the name suggests, this is my establishment."""
ep6_sq00_02#0,"""Take some weight off those tired bones!"""
11_voice_NPC_5305_104#0,"""How would I scout people to hire? Well, when I was picking staff for the cafe, I sat down and talked to each of them on-on-one."""
Popona_01_20#0,"""Do they take pride in their work? Do they seem like I can trust them? Those are the things I think about when I'm hiring someone."""
Popona_01_30#0,"""If a candidate has made big mistakes or let people down when it counted, it makes me worry that they'll be irresponsible."""
Popona_01_40#0,"""The most important thing is that you build a relationship of trust with whoever you choose. You both need to do your best if you're going to be working together."""
