name01#0,"""Астарта"""
11_voice_NPC_5098_208#0,"""Поздравляю!<br><c ff4f3f>Миссия выполнена<c>."""
11_voice_NPC_5098_209#0,"""Единажды <c ff4f3f>выполнив миссию<c>,<br>вы получите <c ff4f3f>награду<c>."""
11_voice_NPC_5098_210#0,"""Выберите \""<c ff4f3f>ARKS миссии<c>\""<br>из выпадающего списка \""<c ff4f3f>Квест<c>\""<br>главного меню, и<br>заберите вашу <c ff4f3f>награду<c>."""
11_voice_NPC_5098_211#0,"""Вы получили <c ff4f3f>награду<c>!<br>Вот так сдаются <c ff4f3f>миссии<c>."""
11_voice_NPC_5098_212#0,"""Это <c ff4f3f>главные миссии<c>,<br>появляющиеся по мере<br>продвижения в игре, а также<br>имеются <c ff4f3f>ежедневные миссии<c><br>и <c ff4f3f>еженедельные миссии<c>,<br>меняющиеся со временем."""
11_voice_NPC_5098_213#0,"""Каждый раз получая <c ff4f3f>награду<c>,<br>проверяйте, не появились ли<br>новые <c ff4f3f>миссии<c>."""
11_voice_NPC_5098_214#0,"""Что ж, желаю вам<br>успехов в будущем!"""
text100#0,"""Выберите <yellow>ARKS миссии<c> с помощью <%Decide>."""
text110#0,"""<yellow>Заберите награду<c> с помощью <%Decide>."""
text120#0,"""<yellow>Закройте<c> окно ARKS миссий с помощью <%Cancel>."""
text130#0,"""<yellow>Закройте<c> главное меню с помощью <%Cancel>."""
text140#0,"""Разблокированы ежедневные и еженедельные миссии."""
text150#0,"""Теперь можно играть в различные квесты!"""
MovieTitle#0,"""Добро пожаловать в PSO2!"""
