name_7663#0,"""シャルキ"""
ssn_011141_0001#0,"""……わかった。説明しよう。"""
ssn_011141_0101#0,"""……と言いたいところだが、<br>クラスがレンジャーではないようだな。"""
ssn_011141_0102#0,"""……戦い方を学びたければ、“クラスカウンター”で<br>クラスをレンジャーに変更してくるんだ。"""
ssn_011141_0103#0,"""……レンジャーの“クラススキル”も<br>覚えておくようにな。"""
ssn_011141_0104#0,"""……だが、レンジャーについて、<br>説明だけはしておこう。"""
ssn_011141_0201#0,"""……レンジャーは遠距離からの射撃に長けたクラス。"""
ssn_011141_0202#0,"""……エネミーと距離を取れるぶん、安全に戦える。"""
ssn_011141_0203#0,"""……そして、重要なのがクラススキル。"""
ssn_011141_0204#0,"""なかでも、まず習熟しておくべきなのが“ウィークバレット”。<br>……手強い敵と戦うとき、有効的だ。"""
ssn_011141_0205#0,"""……実戦で試すといい。訓練の課題を出そう。"""
