name_7663#0,"""Sharkey"""
ssn_011140_0010#0,"""...หน้าใหม่สินะ ดูจากท่าทางแล้ว ยังไม่ค่อยคุ้นชินกับ Central เท่าไหร่เลย"""
ssn_011140_0020#0,"""...ไปฝึกฝนฝีมือให้มากกว่านี้ก่อน แล้วค่อยกลับมาใหม่เถอะ"""
ssn_011140_0030#0,"""...รอเวลานี้มาตลอดเลยล่ะ ฉันคือ Sharkey ครูฝึกสำหรับคลาสสายโจมตีระยะไกล"""
ssn_011140_0040#0,"""...ดูเหมือนว่าทักษะในฐานะ ARKS จะพัฒนาขึ้นเรื่อยๆ เลยนะ"""
ssn_011140_0045#0,"""...ถ้าอยากเรียนรู้ศิลปะการต่อสู้ล่ะก็ ฉันมีอะไรจะสอนให้เยอะแยะเลยล่ะ อยากจะเรียนรู้เรื่องคลาสไหนล่ะ?"""
ssn_011140_0050#0,"""...งั้นเหรอ ถ้าเปลี่ยนใจเมื่อไหร่ ก็มาคุยได้เสมอนะ"""
ssn_011140_0060#0,"""...ตั้งใจฝึกฝนให้ดีล่ะ"""
ssn_011140_0070#0,"""...นั่นเป็นวิธีเดียวที่จะพัฒนาขึ้นได้"""
ssn_011140_0101#0,"""...เป็นไงบ้างล่ะ? ดูจากท่าทางแล้ว คงจะได้บทเรียนไปไม่น้อยเลยสินะ"""
ssn_011140_0102#0,"""...กุญแจสำคัญในการต่อสู้คือ Class Skills ของตัวเอง สกิลพวกนี้จะช่วยเพิ่มทางเลือกในการต่อสู้ได้"""
ssn_011140_0103#0,"""...พยายามทำความคุ้นเคยกับสกิลเอาไว้ล่ะ แล้วจะเห็นถึงพัฒนาการของตัวเองมากขึ้นเรื่อยๆ แน่นอน"""
ssn_011140_0104#0,"""...คาดหวังในตัวเธออยู่นะ"""
