11_voice_NPC_5008_101#0,"""<%me>!<br>Do you have a moment?"""
Fourie_favs_before_020#0,"""So, I just wanted to give you this! Thank you for everything!"""
Fourie_favs_after_010#0,"""I figured it would be rude not to give you something to show my gratitude, and I couldn't think of anything else..."""
Fourie_favs_after_020#0,"""Ahaha... It's kind of embarrassing. I'm a Cast, but..."""
Fourie_favs_present_010#0,"""Received <yellow>Cluster Bullet<c> from Fourier."""
Fourie_favs_present_020#0,"""Received <yellow>Concentrate One<c> from Fourier."""
Fourie_favs_present_030#0,"""Received <yellow>Synthesizer<c> from Fourier."""
Fourie_favs_present_040#0,"""Received <yellow>Cracker Bullet<c> from Fourier."""
Fourie_favs_present_050#0,"""Received <yellow>Zero Distance<c> from Fourier."""
Fourie_favs_present_060#0,"""Received <yellow>Synthesizer<c> from Fourier."""
Fourie_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Fourier."""
Fourie_favs_present_080#0,"""Received <yellow>Rodeo Drive<c> from Fourier."""
Fourie_favs_present_090#0,"""Received <yellow>Divine Launcher<c> from Fourier."""
Fourie_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Fourier."""
Fourie_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Fourier."""
11_voice_NPC_5008_100#0,"""わ、わたしっ、こう見えても<br>恥ずかしがり屋であがり症なんです！<br>……え？\u3000自分で言うことじゃない？"""
11_voice_NPC_5008_106#0,"""それにしても、それにしても<br>みなさんお強いですよねぇ……<br>わたしも精進しないと、です。"""
11_voice_NPC_5008_107#0,"""あの、あのあのっ！<br>怪我とか、されてませんか？<br>大丈夫ですか？"""
Fourie_03_020#0,"""私、体験してみてわかりました。<br>怪我、とっても痛いですから<br>気を付けてくださいね。"""
11_voice_NPC_5008_101#1,"""<%me>さん！<br>こんにちは！"""
Fourie_04_020#0,"""挨拶だけでも元気よく！<br>それが私のポリシーです！<br>……え、ちょっとうるさい、ですか？"""
11_voice_NPC_5008_105#0,"""うーん……あれでもない、これでもない"""
Fourie_05_020#0,"""あ、<%me>さん！<br>挨拶が遅れてすみません<br>昔の資料検索をしてまして……"""
Fourie_05_030#0,"""言語関連の翻訳資料とか、そのへん<br>改めて勉強を、と思ったんです。<br>……ちょっと遅いですけど。"""
11_voice_NPC_5008_100#1,"""私、アークスになった直後は<br>戦うことを主とした活動をしようと<br>考えていたんですよ？"""
Fourie_06_020#0,"""それが、今となってはほぼ正反対。<br>ふふっ、人生って何がきっかけで<br>変わるかわからないものですね。"""
11_voice_NPC_5008_104#0,"""うーん……うん、うーん……<br>……あ、すみません、考え中でした。"""
Fourie_07_020#0,"""一つの種族を理解しようとするのは<br>なかなか骨が折れますねぇ。<br>楽しいから、いいですけど。"""
11_voice_NPC_5008_100#2,"""私は、原住民と交流しています。<br>けど、アークスの活動も重要だと<br>思っていますよ。"""
Fourie_08_020#0,"""戦わなければならないときが必ずある。<br>それがわかっているからこそ<br>私はまだアークスなんです。"""
11_voice_NPC_5008_101#2,"""新しい世代の皆さんはお強いですねぇ。<br>柔軟性も高いし、迷いもないし<br>私も頑張らないと、って思います！"""
11_voice_NPC_5008_102#0,"""私の居住場所？\u3000もちろんここですよ？<br>もしかして、リリーパに住んでいるとか<br>思ってます？\u3000しっつれいですねぇ。"""
Fourie_10_020#0,"""私だって、ちゃんとわきまえています。<br>……あ、でも最近はリリーパでの<br>滞在時間の方が長い、かも。"""
11_voice_NPC_5008_101#3,"""私、アークスで良かったと思います。<br>だって、そうじゃないとあの子達や<br>皆さんに会えなかったんですから。"""
11_voice_NPC_5008_105#1,"""武器の選択って、迷いますよねぇ。<br>なんとなくしっくりきたの、という<br>わりとテキトーなのはダメでしょうか？"""
11_voice_NPC_5008_100#3,"""皆さん、キャストに対して緻密といった<br>先入観を持たれている方が多いですけど<br>多分そんなことないですよ。"""
Fourie_13_020#0,"""キャストだって人ですから<br>性質や性格は人それぞれってやつです。<br>私が良い例だと思いませんか？"""
11_voice_NPC_5008_100#4,"""いつなにがおきるかわからないですから<br>悩む時間ってもったいないですよね……"""
11_voice_NPC_5008_104#1,"""時々、前向きだね、とか言われます。<br>それってどういう意味なのでしょうか？"""
Fourie_15_020#0,"""私のセンサーは後方を感知できないので<br>もともと前しか見られないのですが……<br>難しい問いかけですよね。"""
Alice_01_10#0,"""Whether I could fall in love with another race? I see, I see... Huh?! Wait, what?!"""
Alice_01_20#0,"""I love those little ones, but it's not ROMANTIC love, they're like children to me, you know..."""
Alice_01_30#0,"""...Eh? That's not what you meant? You meant other races in ARKS?"""
Alice_01_40#0,"""Ah, ahaha... I'm sorry! I completely misunderstood you!"""
Alice_01_50#0,"""Umm, love, love, let me think... Anyone is okay with me! Fall in love with whoever you like!"""
Alice_01_60#0,"""...That's not a very Cast-like thing to say, but you know what, I don't mind that one bit!"""
Alice_01_70#0,"""I think being in love is a wonderful thing. If you're in love with someone, you should be true to that feeling!"""
Alice_01_80#0,"""...Umm, it's a bit embarrassing, but I guess that's my answer. Does that help?"""
11_voice_NPC_5008_104#2,"""ダークファルス復活の影響<br>今のところリリーパにはあまり<br>出てはいませんでした。"""
Fourie_mb9_020#0,"""……それで安心してしまった<br>自分がちょっと情けないです。<br>もっと、大きな話なのに。"""
11_voice_NPC_5008_104#3,"""ウワサの暴走龍さん、ですか？<br>……えっと、すみません<br>わたしは会ったことがないです。"""
