name010#0,"""Fyne"""
text010#0,"""Well, would you look at that... Alright, let's see you put it into practice!"""
Text_PA#0,"""Photon Art (PA): """
Text_TEC#0,"""Technique: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""Charge PA: """
Text_chargeTEC#0,"""Charge Technique: """
Text_chargePA2#0,"""Switch attacks during PA: """
Button_charge#0,"""Press and hold <%PhotonArts>"""
Button_charge2#0,"""During a PA"""
Button_charge2_2#0,"""Press <%NormalAttack> or <%PhotonArts> at the right time"""
