name010#0,"""โบซีย์ (Bosey)"""
text010_A#0,"""โย่! คิดยังไงกับหมู่บ้านนี้ล่ะ? น่าอยู่ใช่ไหมล่ะ?"""
text020_A#0,"""ถ้าอยากรู้ว่าอะไรอยู่ที่ไหน ก็ถามฉันได้ตลอดเลยนะ ไม่ต้องเกรงใจ!"""
text010#0,"""เฮ้ เธอนั่นเอง! เอ๊ะ? ได้ยินมาว่าฉันกำลังหาอะไรอยู่งั้นเหรอ?"""
text020#0,"""ก็ถูกแล้วล่ะ ฉันอยากจะให้อะไรเป็นของต้อนรับหน่อยน่ะ แล้วก็คิดได้ว่าน่าจะมีของแถวนี้ที่เหมาะกับเธออยู่นะ!"""
text030#0,"""แล้วก็นึกขึ้นได้ถึงของขวัญที่สมบูรณ์แบบ แต่ปัญหาก็คือ ฉันดันลืมไปซะสนิทเลยว่าเอาไปวางไว้ที่ไหน!"""
text040#0,"""จำได้แค่ว่าเอาไปใส่ไว้ใน Item Container เมื่อไม่นานมานี้นะ..."""
text050#0,"""แต่ให้นึกยังไงก็นึกไม่ออกจริงๆ ว่าใบไหน! โธ่เอ๊ย..."""
text060#0,"""ฟังนะ! ฉันรู้ว่ามันควรจะเป็นฉันที่เป็นคนหาให้ แต่ช่วยฉันหาหน่อยได้ไหม?"""
text010_B#0,"""ว่าไงล่ะ? คิดว่าจะหามันเจอไหม?"""
text010_C#0,"""เดินชมหมู่บ้านเสร็จแล้วเหรอ? ถ้าเสร็จแล้ว ก็ควรจะกลับไปที่บ้านของกาโรอา (Garoa) ได้แล้วล่ะ"""
