name010#0,"""ไฟน์ (Fyne)"""
text010#0,"""ต่อไปคือวิธีสลับไปใช้การโจมตีแบบอื่นอย่างรวดเร็ว ลองทำตามที่ฉันอธิบายดูนะ!"""
Text_PA#0,"""Photon Art: """
Text_TEC#0,"""Technique: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""ชาร์จ PA: """
Text_chargeTEC#0,"""ชาร์จ Technique: """
Text_chargePA2#0,"""สลับการโจมตีระหว่าง PA: """
Button_charge#0,"""กด <%PhotonArts> ค้างไว้"""
Button_charge2#0,"""ระหว่างใช้ Photon Art"""
Button_charge2_2#0,"""กด <%NormalAttack> หรือ <%PhotonArts> ให้ตรงจังหวะ"""
Text_ura_hold#0,"""สลับไปยัง Back Palette: """
Text_ura_push#0,"""สลับ Palette: """
Button_ura_hold#0,"""กด <%WeaponAction_2> ค้างไว้"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""Back Palette """
Text_uraPA#0,"""PA ใน Back Palette: """
Text_uraTEC#0,"""Technique ใน Back Palette: """
Button_uraPA_hold#0,"""กด <%WeaponAction_2> ค้างไว้แล้วกด <%NormalAttack>"""
Button_uraPA_push#0,"""สลับไปยัง Back Palette แล้วกด <%NormalAttack>"""
