name010#0,"""รัล (Ral)"""
text010#0,"""อืม... เยี่ยมมาก เล็งได้ตรงเป้าเลยล่ะ เอาล่ะ ต่อไปลองใช้ 【Step Attack】 ดูได้ไหม?"""
text020#0,"""ลองโจมตีระหว่างที่กำลังหลบหลีกดูสิ"""
Text_Lock#0,"""ล็อกเป้าหมาย: """
Button_Lock#0,"""<%LockOn>"""
Text_Avoid#0,"""หลบหลีก: """
Button_Avoid_Pad#0,"""<%Avoid>"""
Button_Avoid_Key#0,"""กดปุ่มทิศทาง 2 ครั้ง"""
Text_StepAttack#0,"""Step Attack: """
Button_StepAttack_Pad#0,"""กด <%Avoid> ตามด้วย <%NormalAttack>"""
Button_StepAttack_Key#0,"""กดปุ่มทิศทาง"""
Button_StepAttack_Key2#0,"""2 ครั้ง จากนั้นกด <%NormalAttack>"""
