name_7002#0,"""ไอน่า (Aina)"""
name_7001#0,"""มาน่อน (Manon)"""
name_7004#0,"""ครอว์ฟอร์ด (Crawford)"""
msn_040140_0010#0,"""<%me><br>ได้ยินไหม?"""
msn_040140_0020#0,"""ตรวจสอบบันทึกการปะทะกับกลุ่มที่คาดว่าเป็นหน่วยสำรวจแล้ว<br>ตกลงสถานการณ์มันเป็นยังไงกันแน่?"""
msn_040140_0030#0,"""พวกเราเองก็ไม่ค่อยเข้าใจเหมือนกัน<br>แต่เรื่องที่พุ่งเข้ามาโจมตีนั้นเป็นความจริงนะ"""
msn_040140_0040#0,"""แล้วก็ มีเด็กผู้หญิงที่คอยช่วยเหลือพวกเราอยู่ด้วย"""
msn_040140_0050#0,"""รายละเอียดเดี๋ยวจะรายงานให้ฟังทีหลังนะ แต่เป็นเด็กผู้หญิงที่พบในอัลตาเรล์ม (Alter Realm) น่ะ<br>ดูเหมือนจะสูญเสียความทรงจำไปเพราะสาเหตุอะไรบางอย่างด้วย"""
msn_040140_0060#0,"""อย่างนี้นี่เอง……ถ้าเธอช่วยรับประกันความปลอดภัยให้พวกเธอขนาดนั้น<br>ก็คงต้องเริ่มจากกล่าวขอบคุณเธอก่อนเลยล่ะนะ"""
msn_040140_0070#0,"""เข้าใจสถานการณ์คร่าวๆ แล้วล่ะ เรื่องของเธอก็น่าเป็นห่วงอยู่หรอกนะ<br>แต่ตอนนี้จำเป็นต้องให้ความสำคัญกับความผิดปกติของหน่วยสำรวจก่อน"""
msn_040140_0080#0,"""พวกเราตั้งใจว่าจะมุ่งหน้าไปที่อัลตาเรล์ม (Alter Realm) อีกรอบน่ะ<br>ขืนปล่อยหน่วยสำรวจพวกนั้นทิ้งไว้แบบนี้ไม่ได้หรอก"""
msn_040140_0090#0,"""เข้าใจแล้วล่ะ แต่ว่านะ ถ้าเกิดพวกเขาควบคุมสติตัวเองไม่ได้แล้ว<br>และประเมินแล้วว่าไม่มีทางช่วยเหลือได้ล่ะก็……"""
msn_040140_0100#0,"""เมื่อถึงตอนนั้น อาจจะจำเป็นต้องบีบบังคับให้พวกเธอเลือกหนทางที่โหดร้ายนะ<br>ขอโทษด้วยล่ะ แต่ช่วยเตรียมใจเอาไว้ให้ดีด้วยนะ"""
msn_040140_0110#0,"""……อื้อ เข้าใจแล้ว"""
