msc_040350_0010#0,"""จบแล้วงั้นเหรอ……?"""
msc_040350_0020#0,"""ไม่สิ ยังไม่จบหรอก<br>ดูนั่นสิ"""
msc_040350_0030#0,"""แหมๆ น่าตกใจจริงๆ แฮะ"""
msc_040350_0040#0,"""ทำได้ดีกว่าที่คิดไว้อีกนะเนี่ย<br>สมกับเป็นผู้พิทักษ์ (Guardian) ช่างแตกต่างจากพวกลูกกระจ๊อกเมื่อครู่นี้ลิบลับเลย"""
msc_040350_0050#0,"""รูปลักษณ์แบบนั้น หรือว่าคุณคือ……!"""
msc_040350_0060#0,"""ทำไมถึงมาอยู่ที่นี่ได้?"""
msc_040350_0070#0,"""แกเป็นใครกันแน่?"""
msc_040350_0080#0,"""นั่นสินะ? ทำไมฉันถึงมาอยู่ในอัลตาเรล์ม (Alter Realm) ได้ล่ะ"""
msc_040350_0090#0,"""รู้อยู่แก่ใจแล้วไม่ใช่รึไง?"""
msc_040350_0100#0,"""คุณเป็นคนลงมือกับพวกหน่วยสำรวจทั้งหมดเองงั้นเหรอ!?<br>ทำไมถึงทำแบบนี้!!"""
msc_040350_0110#0,"""อย่าทำหน้าตาน่ากลัวแบบนั้นสิ ไอน่าคุง"""
msc_040350_0120#0,"""อุตส่าห์ดั้นด้นมาถึงที่นี่ได้ทั้งที<br>ก็ต้องให้รางวัลเป็นการมอบ 'ความจริง' ให้เห็นซะหน่อย"""
msc_040350_0130#0,"""……เอาล่ะ จะเอายังไงดี?<br>จะหันคมดาบเข้าหาท่านผู้บัญชาการเลยงั้นเหรอ?"""
msc_040350_0140#0,"""ไม่จริงน่า……<br>เป็นครอว์ฟอร์ด (Crawford) จริงๆ งั้นเหรอ……?"""
msc_040350_0150#0,"""……ไม่ใช่<br>เจ้านี่มัน……Starless"""
msc_040350_0160#0,"""Starless เหรอ?"""
msc_040350_0170#0,"""ไม่ผิดแน่ ความรู้สึกชวนอึดอัดแบบนี้……<br>มันเหมือนกับศัตรูที่พุ่งเข้ามาโจมตีพวกเราก่อนหน้านี้เลย"""
msc_040350_0180#0,"""โห รู้ตัวแล้วสินะ"""
msc_040350_0190#0,"""……แกน่ะ……หึหึ อย่างนี้นี่เอง"""
msc_040350_0200#0,"""เอาเถอะ ช่างมัน ตอนนี้ยังไม่ถึงเวลา"""
msc_040350_0210#0,"""เดี๋ยวก่อน! แกเป็นใครกันแน่……!"""
msc_040350_0220#0,"""นั่นสินะ……จะให้แนะนำตัวว่า 'อัลตา ครอว์ฟอร์ด' (Alter Crawford) ก็แล้วกัน"""
msc_040350_0230#0,"""หึหึ ไม่เห็นต้องรีบร้อนเลย<br>ในเมื่อ 'แผนการ' มันได้เริ่มต้นขึ้นแล้วน่ะ"""
msc_040350_0240#0,"""……อีกเดี๋ยว ก็จะได้สนุกยิ่งกว่านี้อีกแน่"""
msc_040350_0250#0,"""หายไปแล้ว……"""
msc_040350_0260#0,"""อัลตา……ครอว์ฟอร์ด (Alter Crawford)……งั้นเหรอ?"""
msc_040350_0270#0,"""ทุกคนในหน่วยสำรวจ……ขอโทษนะ<br>ถ้าพวกเรามาถึงเร็วกว่านี้ล่ะก็……"""
msc_040350_0280#0,"""ไม่ได้จะปลอบใจหรอกนะ……<br>แต่คนที่ผิดคือ Starless ไม่ใช่เหรอ? ไม่ใช่ความผิดเธอซะหน่อย"""
msc_040350_0290#0,"""อื้อ ก็รู้แหละ แต่ว่า……มันก็น่าเจ็บใจอยู่ดี"""
msc_040350_0300#0,"""นั่นสินะ แต่แค่นี้ก็เข้าใจแล้วล่ะ<br>อัลตาเรล์ม (Alter Realm) ไม่ใช่แค่ดินแดนปริศนาธรรมดาๆ แล้วล่ะ"""
msc_040350_0310#0,"""มันเป็นสถานที่ที่จำลองฮาลฟา (Halpha) ขึ้นมาโดยมีความตั้งใจบางอย่างแอบแฝงอยู่……<br>และที่นี่ก็มีศัตรูที่จำแลงกายเป็นคนที่พวกเรารู้จักอยู่ด้วย"""
msc_040350_0320#0,"""เจ้านั่นพูดเอาไว้เมื่อกี้สินะ<br>ว่าแผนการได้เริ่มต้นขึ้นแล้ว……"""
msc_040350_0330#0,"""นี่ไม่ใช่จุดจบสินะ<br>แต่เป็นจุดเริ่มต้นต่างหาก……ใช่ไหม"""
msc_040350_0340#0,"""กลับไปรายงานเรื่องในครั้งนี้กันเถอะ"""
msc_040350_0350#0,"""ถอยกลับไปเตรียมรับมือกับการต่อสู้เถอะ"""
msc_040350_0360#0,"""นั่นสินะ ทั้งเรื่องหน่วยสำรวจ เรื่องตัวปลอม……<br>มีเรื่องที่ต้องกลับไปรายงานอีกตั้งเยอะแยะเลยล่ะ"""
msc_040350_0370#0,"""อืม คงต้องกลับไปเล่าเรื่องหน่วยสำรวจกับพวกตัวปลอม<br>ให้ครอว์ฟอร์ด (Crawford) ฟังซะแล้วสิ"""
msc_040350_0380#0,"""เอาล่ะ กลับกันเถอะ กลับไปที่ฮาลฟา (Halpha) ของพวกเรา"""
name01#0,"""???"""
