Title#0,"""あなたが生まれたその理由"""
Explanation#0,"""ただ一つの目的を胸に、終わりなき物語を<br>辿っていた者の、ひとつの結末となる。<br>永遠に繰り返される悲劇を終わらせるため<br>皆は戦い、『二人』もまた力を尽くす。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
StoryExplanation#0,"""ただ一つの目的を胸に、終わりなき物語を<br>辿っていた者の、ひとつの結末となる。<br>永遠に繰り返される悲劇を終わらせるため<br>皆は戦い、『二人』もまた力を尽くす。"""
SimpleExplanation#0,"""マトイを救え！"""
Area0S#0,"""Área bosque"""
Area0L#0,"""Naberius: Área bosque"""
Area1S#0,"""Área corrupta: Ruinas"""
Area1L#0,"""Naberius: Ruinas corruptas"""
Area2S#0,"""Área corrupta: Bosque 1"""
Area2L#0,"""Naberius: Bosque Corrupto 1"""
Area3S#0,"""Área corrupta: Bosque 2"""
Area3L#0,"""Naberius: Bosque Corrupto 2"""
Area4S#0,"""Área corrupta: Bosque 3"""
Area4L#0,"""Naberius: Bosque Corrupto 3"""
Area5S#0,"""Área corrupta: Ruinas"""
Area5L#0,"""Naberius: Ruinas corruptas"""
