Title#0,"""The [Profound Darkness] Attacks"""
Explanation#0,"""In the skies above Naberius, the<br>[Profound Darkness] has resurrected<br>itself. <%me> must overcome<br>the fight against the [Profound Darkness].<br>――――――――――――――――――――<br>Failure Conditions: Become incapacitated<br>and selecting retire or time runs out"""
StoryExplanation#0,"""In the skies above Naberius, the<br>[Profound Darkness] has resurrected itself.<br><%me> must overcome the fight against<br>the [Profound Darkness]."""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
NpcComMsg1#0,"""You'll be transported to the front soon. Your objective is to forge a path to the [Profound Darkness] by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz... we cannot even fathom the depths of its power. Be careful, and, please, come back to us safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the [Profound Darkness]. All that remains is for you to take down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or instructions for you. Fight bravely, and make it through this alive...<br>That's an order. That is an order!"""
