ssc_013060_0010#0,"""오오! 누군가 했더니 너였군!"""
ssc_013060_0020#0,"""푸엣취!"""
ssc_013060_0030#0,"""이거 원, 슬슬 방한복이 제 구실을 못하는군.<br>아무리 나여도 쌀쌀한데."""
ssc_013060_0040#0,"""그렇군, 쿠카가 준비해 준 건가.<br>정말 고마워!"""
ssc_013060_0050#0,"""이제 조사도 순조로워지겠어.<br>나중에 사례해야지."""
ssc_013060_0060#0,"""너도 가져다 줘서 고맙다!"""
ssc_013060_0070#0,"""음? 산장에 돌아가려고?<br>잠깐 기다려 줘."""
ssc_013060_0080#0,"""가는 김에 이걸 메리에게 전해주지 않겠어?"""
ssc_013060_0090#0,"""예쁘지? 여기서 구한 거야."""
ssc_013060_0100#0,"""메리가 좋아하지 않을까 싶어서 말이야."""
ssc_013060_0110#0,"""걔한텐 매번 집보기만 시켜서 미안하니까.<br>별 것 없는 선물이지."""
ssc_013060_0120#0,"""난 아직 조사할 게 남아있어.<br>그러니 네가 전해줘, 그럼!"""
