msc_013110_0010#0,"""이루마에 대해서, 입니까?"""
msc_013110_0030#0,"""할아버지도 연구자셨는데<br>그의 연구를 계승한 모양이에요."""
msc_013110_0040#0,"""저는 잘 모르겠지만<br>참고가 될만한게 있다면 찾아보셔도 괜찮아요."""
msc_013110_0050#0,"""어라, 이건..."""
msc_013110_0060#0,"""메리랑 같이있던 로봇이네.<br>뒤에 이루마란 이름이 써져있어."""
msc_013110_0070#0,"""스스로 움직이는 것 같은데 어떻게 움직이는걸까?"""
msc_013110_0080#0,"""표시되어 있는 돌즈에 액세스"""
msc_013110_0090#0,"""표시되어 있는 구 센트럴에 액세스"""
msc_013110_0100#0,"""...돌즈에 대해<br>여러가지 정리가 되어있어..."""
msc_013110_0110#0,"""로스트 센트럴에 관한<br>자료도 있네."""
msc_013110_0120#0,"""뭔가 알아냈어?"""
msc_013110_0130#0,"""크바리스 리전에는 유적과 유사한 건물이<br>몇 군데 있나봐."""
msc_013110_0140#0,"""어쩌면 이 시설 어딘가에<br>이루마가 있을지도 몰라"""
msc_013110_0150#0,"""알았어!"""
