ssc_013050_0010#0,"""무슨 일이세요?"""
ssc_013050_0020#0,"""훌륭한 털가죽이네요.<br>정말 고맙습니다!"""
ssc_013050_0030#0,"""툴리는 식량이나 털가죽을<br>자주 가져와 주거든요."""
ssc_013050_0040#0,"""마침 타이바스의 방한구를<br>다시 만들고 있던 차였어요."""
ssc_013050_0050#0,"""재료가 조금 부족했었는데,<br>이거면 충분할 것 같아요."""
ssc_013050_0060#0,"""그거 때문에, 부탁드리고 싶은데…."""
ssc_013050_0070#0,"""정말 죄송하지만, 방한복이 완성되면<br>타이바스에게 갖다주실 수 있을까요?"""
ssc_013050_0080#0,"""전 이거 뒤로도 할 일이 쌓여있어서<br>손을 뗄 수가 없거든요…."""
ssc_013050_0090#0,"""정말인가요?<br>감사합니다!"""
ssc_013050_0100#0,"""그럼 조금만 기다려 주세요."""
ssc_013050_0110#0,"""\""다난 설원\""에 있을 거에요.<br>잘 부탁드려요."""
