msc_013220_0010#0,"""멍청하게 포위되서말이야.<br>덕분에 살았어!"""
msc_013220_0020#0,"""이런 오지...혼자서 안오는게 좋지않아?"""
msc_013220_0030#0,"""괜찮아.남매중에선 내가 제일<br>이 크바리스 리전을 걸어다녀서 익숙하거든."""
msc_013220_0040#0,"""근데 돌즈에 포위되고 말았잖아."""
msc_013220_0050#0,"""하하하, 모험에는 위험이 따르는 법이니까!"""
msc_013220_0060#0,"""라곤 했지만 폐를 끼친 것도 사실.<br>이후 조심하지!"""
msc_013220_0070#0,"""툴리를 만났지만<br>아직 이루마의 발자취는 못찾은 것 같았어.그쪽은 어때? """
msc_013220_0080#0,"""나도 계속 헛방이야."""
msc_013220_0090#0,"""여기저기 둘러봤는데.<br>그 녀석 정말 어디 간거지?"""
msc_013220_0100#0,"""달리 조사 안해본 곳은?"""
msc_013220_0110#0,"""남은건 로스트 센트럴 정돈데..."""
msc_013220_0120#0,"""로스트 센트럴...<br>그 옛날 다크펄스와의 싸움으로...얼음에 갖혀버린 도시네..."""
msc_013220_0130#0,"""하지만 거기에 들어가는 것은 무리야."""
msc_013220_0140#0,"""주변에 있는 돌즈가 엄청나게 강해.<br>다가가는것도 어렵지."""
msc_013220_0150#0,"""이루마가 향했다고 생각하기는 어려워"""
msc_013220_0160#0,"""그렇게 되면..."""
msc_013220_0170#0,"""흐음..."""
msc_013220_0180#0,"""여기에 오래 있는 것도 위험하니<br>일단 한번 로지도 돌아갈까요."""
msc_013220_0200#0,"""그럼 나는 한발 먼저 로지에서 기다리고 있을게!<br>볼일이 있다면 끝내고 오면 좋겠어."""
