msc_013160_0010#0,"""어라, 손님이야?"""
msc_013160_0020#0,"""저기...당신들 여기 사람이야?"""
msc_013160_0030#0,"""아니, 우리는 센트럴 시티 소속의 아크스야.<br>자재를 가지러 왔어."""
msc_013160_0040#0,"""이 리전의 아크스 본 적 없어?<br>이 사람인데..."""
msc_013160_0050#0,"""아, 그 사람이라면<br>좀 전에 스쳐지났을거야."""
msc_013160_0060#0,"""그래. 카타나를 가지고 있는<br>강해보이는 녀석이였어."""
msc_013160_0070#0,"""그 사람 어디로 갔어!?"""
msc_013160_0080#0,"""이 안쪽이야. 아직 그렇게 오래되지 않았으니까<br>따라잡을 수 있을 거라고 생각해.."""
msc_013160_0090#0,"""고마워!"""
name01#0,"""원정중인 브레이버"""
name02#0,"""원정중인 바운서"""
name03#0,"""？？？"""
